TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
5CBA,model_4_multimer_20220423_121312,0.36131656,0.746
5CBA,ranked_4,0.36131656,0.746
5CBA,ranked_1,0.36123899,0.786
5CBA,model_5_multimer_20220423_121312,0.36123899,0.786
5CBA,model_1_multimer_20220423_663901,0.36118865,0.806
5CBA,model_3_multimer_20220423_296697,0.36113429,0.752
5CBA,model_1_multimer_20220423_294929,0.36077043,0.791
5CBA,model_2_multimer_20220423_121312,0.3606278,0.798
5CBA,ranked_2,0.3606278,0.798
5CBA,model_5_multimer_20220423_294929,0.3603994,0.817
5CBA,model_4_multimer_20220423_296697,0.36038977,0.763
5CBA,model_5_multimer_20220423_296697,0.36034662,0.809
5CBA,model_1_multimer_20220423_296697,0.35979161,0.708
5CBA,ranked_3,0.35966313,0.77
5CBA,model_1_multimer_20220423_121312,0.35966313,0.77
5CBA,model_4_multimer_20220423_862209,0.35934904,0.779
5CBA,model_3_multimer_20220423_294929,0.35931849,0.786
5CBA,model_4_multimer_20220423_294929,0.35921764,0.765
5CBA,model_1_multimer_20220423_862209,0.35896111,0.798
5CBA,model_3_multimer_20220423_663901,0.35889032,0.761
5CBA,model_2_multimer_20220423_296697,0.35878375,0.812
5CBA,model_2_multimer_20220423_862209,0.35867274,0.789
5CBA,model_4_multimer_20220423_663901,0.35865182,0.759
5CBA,model_3_multimer_20220423_862209,0.35828957,0.75
5CBA,model_5_multimer_20220423_862209,0.358087,0.81
5CBA,model_2_multimer_20220423_294929,0.35693821,0.802
5CBA,model_3_multimer_20220423_121312,0.35689369,0.761
5CBA,ranked_0,0.35689369,0.761
5CBA,model_2_multimer_20220423_663901,0.35681963,0.787
5CBA,model_5_multimer_20220423_663901,0.35511079,0.78
