MODEL,PRED_DOCKQ
fold_7tee_3_model_0,0.40582842
fold_7tee_2_model_1,0.40572762
fold_7tee_3_model_2,0.40567583
fold_7tee_2_model_0,0.40566427
fold_7tee_4_model_3,0.40564683
fold_7tee_5_model_1,0.40563399
fold_7tee_2_model_2,0.40560117
fold_7tee_1_model_1,0.40559348
fold_7tee_4_model_1,0.40558943
fold_7tee_5_model_3,0.4055742
fold_7tee_1_model_3,0.40552366
fold_7tee_2_model_4,0.40550828
fold_7tee_5_model_4,0.40545046
fold_7tee_4_model_4,0.40544689
fold_7tee_2_model_3,0.40544012
fold_7tee_1_model_4,0.40539175
fold_7tee_3_model_1,0.40536472
fold_7tee_5_model_0,0.40532249
fold_7tee_3_model_3,0.40528616
fold_7tee_1_model_2,0.40527385
fold_7tee_4_model_2,0.4052076
fold_7tee_3_model_4,0.40511602
fold_7tee_1_model_0,0.40506518
fold_7tee_4_model_0,0.40459558
fold_7tee_5_model_2,0.40420735
