MODEL,PRED_DOCKQ
species_interact_uniprot_sto_2,0.40599418
structure_temp_dimer_3,0.40592223
species_interact_uniref_sto_0,0.40589681
ori_temp_pipeline_with_alphafold_models_3,0.40589023
pdb_interact_uniprot_sto_4,0.40587565
sequence_based_template_with_alphafold_3,0.40586919
no_templates_4,0.40585399
structure_temp_dimer_2,0.40584686
default_4,0.40583265
ori_template_pipeline_4,0.40582308
structure_temp_dimer_a_3,0.40580454
no_templates_0,0.40579495
structure_temp_dimer_4,0.4057785
ori_template_pipeline_2,0.40577292
species_interact_uniprot_sto_0,0.40575531
custom_template_with_alphafold_models_3,0.40575507
sequence_based_template_3,0.40575334
pdb_interact_uniprot_sto_2,0.40573636
default_3,0.405711
pdb_interact_uniprot_sto_0,0.4057003
sequence_based_template_2,0.40569949
structure_temp_dimer_1,0.40569913
structure_temp_dimer_a_2,0.40567592
uniclust_oxmatch_a3m_4,0.40565729
default_2,0.40565321
uniclust_oxmatch_a3m_2,0.40564427
species_interact_uniref_sto_3,0.40563491
custom_template_with_alphafold_models_4,0.40563211
species_interact_uniprot_sto_3,0.40563044
uniclust_oxmatch_a3m_1,0.4056251
default_1,0.40560979
ori_temp_pipeline_with_alphafold_models_4,0.40560973
structure_temp_dimer_a_4,0.40560925
sequence_based_template_with_alphafold_4,0.40559348
ori_temp_pipeline_with_alphafold_models_2,0.40559131
custom_template_file_3,0.40558478
pdb_interact_uniprot_sto_1,0.40558377
custom_template_file_0,0.40557835
species_interact_uniref_sto_4,0.40557262
sequence_based_template_with_alphafold_1,0.40557122
species_interact_uniprot_sto_4,0.40556726
ori_template_pipeline_3,0.40556225
structure_temp_dimer_a_1,0.40555757
default_0,0.40553674
ori_temp_pipeline_with_alphafold_models_1,0.40553457
custom_template_with_alphafold_models_0,0.40553448
ori_template_pipeline_1,0.4055337
ori_template_pipeline_0,0.4055298
custom_template_with_alphafold_models_2,0.4055219
sequence_based_template_with_alphafold_0,0.40551114
structure_temp_dimer_a_0,0.40551066
species_interact_uniref_sto_2,0.40550604
sequence_based_template_4,0.40549695
ori_temp_pipeline_with_alphafold_models_0,0.40549666
no_templates_2,0.40549648
custom_template_file_2,0.4054932
species_interact_uniref_sto_1,0.40549248
species_interact_uniprot_sto_1,0.40548778
uniclust_oxmatch_a3m_0,0.40548453
custom_template_with_alphafold_models_1,0.40547529
pdb_interact_uniprot_sto_3,0.40545705
sequence_based_template_with_alphafold_2,0.40545639
custom_template_file_1,0.40542367
sequence_based_template_1,0.40541449
custom_template_file_4,0.40537703
uniclust_oxmatch_a3m_3,0.40537593
structure_temp_dimer_0,0.40535462
no_templates_1,0.40523207
sequence_based_template_0,0.4052138
no_templates_3,0.40513122
