MODEL,PRED_DOCKQ
fold_7sbg_4_model_2,0.3732757
fold_7sbg_4_model_0,0.37214386
fold_7sbg_2_model_1,0.37211797
fold_7sbg_2_model_4,0.37205166
fold_7sbg_1_model_3,0.37144747
fold_7sbg_5_model_3,0.37114578
fold_7sbg_5_model_1,0.37103701
fold_7sbg_4_model_3,0.37088647
fold_7sbg_1_model_4,0.3708064
fold_7sbg_5_model_4,0.37064701
fold_7sbg_1_model_2,0.37053505
fold_7sbg_5_model_2,0.37034601
fold_7sbg_5_model_0,0.3701719
fold_7sbg_1_model_0,0.36984757
fold_7sbg_3_model_1,0.36981556
fold_7sbg_4_model_1,0.36977932
fold_7sbg_3_model_0,0.36968154
fold_7sbg_2_model_3,0.36925161
fold_7sbg_3_model_4,0.3692227
fold_7sbg_3_model_2,0.36917591
fold_7sbg_4_model_4,0.36898744
fold_7sbg_3_model_3,0.36879045
fold_7sbg_2_model_2,0.36872333
fold_7sbg_2_model_0,0.36869586
fold_7sbg_1_model_1,0.36845499
