MODEL,PRED_DOCKQ
fold_7su1_5_model_3,0.37105513
fold_7su1_1_model_0,0.37092319
fold_7su1_2_model_0,0.370891
fold_7su1_2_model_2,0.37085867
fold_7su1_3_model_1,0.37061152
fold_7su1_4_model_2,0.3704446
fold_7su1_2_model_3,0.37041974
fold_7su1_4_model_3,0.37038708
fold_7su1_3_model_3,0.3703694
fold_7su1_1_model_4,0.37032115
fold_7su1_5_model_0,0.37030801
fold_7su1_5_model_1,0.37024766
fold_7su1_4_model_4,0.37021437
fold_7su1_4_model_0,0.37017331
fold_7su1_5_model_2,0.37015378
fold_7su1_3_model_0,0.36977598
fold_7su1_2_model_4,0.3697269
fold_7su1_1_model_1,0.36963671
fold_7su1_3_model_4,0.36962563
fold_7su1_1_model_3,0.36961514
fold_7su1_5_model_4,0.36946145
fold_7su1_1_model_2,0.36937949
fold_7su1_3_model_2,0.36928755
fold_7su1_4_model_1,0.36911982
fold_7su1_2_model_1,0.36908713
