TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7YQX,fold_7yqx_2_model_4,0.37289077,0.451
7YQX,fold_7yqx_3_model_0,0.37151363,0.458
7YQX,fold_7yqx_5_model_4,0.37072501,0.449
7YQX,fold_7yqx_1_model_3,0.37071162,0.444
7YQX,fold_7yqx_3_model_4,0.37065756,0.456
7YQX,fold_7yqx_3_model_2,0.37051469,0.462
7YQX,fold_7yqx_2_model_2,0.37019029,0.449
7YQX,fold_7yqx_5_model_1,0.37012497,0.443
7YQX,fold_7yqx_1_model_1,0.3699531,0.418
7YQX,fold_7yqx_4_model_4,0.36984563,0.452
7YQX,fold_7yqx_4_model_1,0.36973774,0.415
7YQX,fold_7yqx_4_model_0,0.36962408,0.444
7YQX,fold_7yqx_2_model_0,0.36955869,0.408
7YQX,fold_7yqx_5_model_2,0.36951393,0.446
7YQX,fold_7yqx_1_model_4,0.3694506,0.428
7YQX,fold_7yqx_2_model_3,0.3693054,0.4
7YQX,fold_7yqx_5_model_3,0.36915907,0.468
7YQX,fold_7yqx_4_model_2,0.36915439,0.398
7YQX,fold_7yqx_4_model_3,0.36906779,0.454
7YQX,fold_7yqx_3_model_1,0.3690055,0.441
7YQX,fold_7yqx_1_model_2,0.36893508,0.442
7YQX,fold_7yqx_2_model_1,0.36885226,0.454
7YQX,fold_7yqx_5_model_0,0.36858416,0.405
7YQX,fold_7yqx_1_model_0,0.36847386,0.424
7YQX,fold_7yqx_3_model_3,0.36822549,0.449
