TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
8GV6,fold_8gv6_5_model_4,0.37330517,0.479
8GV6,fold_8gv6_3_model_3,0.37295371,0.459
8GV6,fold_8gv6_2_model_2,0.37254184,0.586
8GV6,fold_8gv6_1_model_1,0.37240535,0.565
8GV6,fold_8gv6_1_model_4,0.37220669,0.575
8GV6,fold_8gv6_2_model_4,0.3721711,0.53
8GV6,fold_8gv6_5_model_3,0.37182552,0.449
8GV6,fold_8gv6_2_model_1,0.37140045,0.488
8GV6,fold_8gv6_3_model_2,0.37134412,0.47
8GV6,fold_8gv6_2_model_0,0.37122992,0.583
8GV6,fold_8gv6_3_model_4,0.37108421,0.46
8GV6,fold_8gv6_1_model_2,0.37091416,0.593
8GV6,fold_8gv6_1_model_0,0.37066692,0.612
8GV6,fold_8gv6_4_model_3,0.37062743,0.572
8GV6,fold_8gv6_1_model_3,0.37056163,0.58
8GV6,fold_8gv6_5_model_0,0.37039402,0.456
8GV6,fold_8gv6_5_model_1,0.37030062,0.443
8GV6,fold_8gv6_4_model_4,0.3701064,0.53
8GV6,fold_8gv6_2_model_3,0.37007171,0.558
8GV6,fold_8gv6_3_model_1,0.37003258,0.472
8GV6,fold_8gv6_3_model_0,0.36996582,0.451
8GV6,fold_8gv6_5_model_2,0.36945614,0.472
8GV6,fold_8gv6_4_model_2,0.36903456,0.646
8GV6,fold_8gv6_4_model_1,0.36845157,0.706
8GV6,fold_8gv6_4_model_0,0.36824849,0.528
