MODEL,PRED_DOCKQ
fold_8gz5_1_model_4,0.37053832
fold_8gz5_2_model_4,0.37013167
fold_8gz5_3_model_1,0.36998984
fold_8gz5_2_model_3,0.36993828
fold_8gz5_1_model_3,0.36988962
fold_8gz5_5_model_3,0.36985099
fold_8gz5_2_model_0,0.3698256
fold_8gz5_3_model_4,0.3697297
fold_8gz5_2_model_2,0.36965141
fold_8gz5_2_model_1,0.36948681
fold_8gz5_3_model_0,0.36928937
fold_8gz5_5_model_1,0.36923072
fold_8gz5_4_model_4,0.36903569
fold_8gz5_5_model_2,0.36903277
fold_8gz5_3_model_2,0.36886334
fold_8gz5_1_model_0,0.36827704
fold_8gz5_3_model_3,0.36824009
fold_8gz5_5_model_4,0.36810514
fold_8gz5_4_model_1,0.36772788
fold_8gz5_5_model_0,0.36755341
fold_8gz5_1_model_1,0.36736667
fold_8gz5_4_model_0,0.36721128
fold_8gz5_4_model_3,0.36695281
fold_8gz5_1_model_2,0.36645976
fold_8gz5_4_model_2,0.36637339
