TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7YQZ,fold_7yqz_4_model_2,0.43393385,0.46
7YQZ,fold_7yqz_3_model_2,0.43374556,0.426
7YQZ,fold_7yqz_4_model_4,0.43338272,0.457
7YQZ,fold_7yqz_3_model_0,0.43333519,0.431
7YQZ,fold_7yqz_1_model_1,0.43314794,0.463
7YQZ,fold_7yqz_5_model_0,0.43305206,0.411
7YQZ,fold_7yqz_3_model_3,0.43275744,0.464
7YQZ,fold_7yqz_1_model_4,0.43266153,0.393
7YQZ,fold_7yqz_2_model_0,0.43258715,0.452
7YQZ,fold_7yqz_4_model_3,0.43253869,0.453
7YQZ,fold_7yqz_2_model_3,0.43251619,0.449
7YQZ,fold_7yqz_4_model_1,0.43251061,0.426
7YQZ,fold_7yqz_3_model_4,0.43238682,0.4
7YQZ,fold_7yqz_5_model_4,0.43217516,0.447
7YQZ,fold_7yqz_4_model_0,0.43211451,0.437
7YQZ,fold_7yqz_5_model_3,0.43203342,0.472
7YQZ,fold_7yqz_2_model_2,0.43202943,0.413
7YQZ,fold_7yqz_2_model_1,0.43201301,0.458
7YQZ,fold_7yqz_3_model_1,0.4319261,0.451
7YQZ,fold_7yqz_5_model_1,0.43171871,0.466
7YQZ,fold_7yqz_1_model_3,0.43127954,0.413
7YQZ,fold_7yqz_1_model_0,0.43124482,0.42
7YQZ,fold_7yqz_1_model_2,0.43105763,0.449
7YQZ,fold_7yqz_5_model_2,0.43082538,0.446
7YQZ,fold_7yqz_2_model_4,0.43071708,0.458
