TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
8GZ5,fold_8gz5_5_model_3,0.43767002,0.883
8GZ5,fold_8gz5_1_model_4,0.43764046,0.066
8GZ5,fold_8gz5_1_model_3,0.4375746,0.092
8GZ5,fold_8gz5_4_model_1,0.43715602,0.038
8GZ5,fold_8gz5_2_model_4,0.43701756,0.858
8GZ5,fold_8gz5_1_model_0,0.43686497,0.509
8GZ5,fold_8gz5_2_model_2,0.43685296,0.844
8GZ5,fold_8gz5_3_model_1,0.43681172,0.868
8GZ5,fold_8gz5_3_model_0,0.43671897,0.889
8GZ5,fold_8gz5_2_model_3,0.4366754,0.864
8GZ5,fold_8gz5_3_model_4,0.43667018,0.873
8GZ5,fold_8gz5_5_model_1,0.43652016,0.878
8GZ5,fold_8gz5_2_model_0,0.43641362,0.852
8GZ5,fold_8gz5_4_model_0,0.43631917,0.057
8GZ5,fold_8gz5_2_model_1,0.43625763,0.864
8GZ5,fold_8gz5_5_model_2,0.43625307,0.87
8GZ5,fold_8gz5_5_model_4,0.43612978,0.876
8GZ5,fold_8gz5_3_model_2,0.43603259,0.831
8GZ5,fold_8gz5_5_model_0,0.43534583,0.88
8GZ5,fold_8gz5_4_model_4,0.43508169,0.01
8GZ5,fold_8gz5_3_model_3,0.43493712,0.86
8GZ5,fold_8gz5_1_model_1,0.43461367,0.185
8GZ5,fold_8gz5_4_model_3,0.43448329,0.014
8GZ5,fold_8gz5_1_model_2,0.43408403,0.669
8GZ5,fold_8gz5_4_model_2,0.43292034,0.065
