TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
5HGG,model_4_multimer_20220423_879088,0.43872234,0.289
5HGG,model_5_multimer_20220423_908001,0.43810874,0.298
5HGG,ranked_1,0.43738478,0.272
5HGG,model_3_multimer_20220423_919207,0.43738478,0.272
5HGG,model_3_multimer_20220423_932539,0.43677235,0.294
5HGG,model_5_multimer_20220423_932539,0.43671423,0.282
5HGG,ranked_0,0.43651843,0.301
5HGG,model_5_multimer_20220423_919207,0.43651843,0.301
5HGG,model_2_multimer_20220423_842191,0.43642959,0.273
5HGG,ranked_3,0.43562838,0.305
5HGG,model_2_multimer_20220423_919207,0.43562838,0.305
5HGG,model_1_multimer_20220423_932539,0.43546379,0.335
5HGG,model_5_multimer_20220423_842191,0.43535581,0.266
5HGG,model_4_multimer_20220423_932539,0.4352763,0.294
5HGG,model_4_multimer_20220423_919207,0.4352701,0.224
5HGG,ranked_4,0.4352701,0.224
5HGG,model_2_multimer_20220423_908001,0.43511507,0.3
5HGG,model_2_multimer_20220423_879088,0.43498662,0.338
5HGG,model_3_multimer_20220423_842191,0.43498644,0.259
5HGG,model_2_multimer_20220423_932539,0.43492481,0.345
5HGG,model_4_multimer_20220423_842191,0.4348841,0.244
5HGG,model_3_multimer_20220423_908001,0.43443227,0.301
5HGG,model_1_multimer_20220423_842191,0.4341135,0.338
5HGG,model_1_multimer_20220423_879088,0.43354067,0.298
5HGG,model_3_multimer_20220423_879088,0.43341067,0.313
5HGG,model_4_multimer_20220423_908001,0.43337855,0.251
5HGG,model_1_multimer_20220423_908001,0.43302417,0.279
5HGG,model_1_multimer_20220423_919207,0.43256876,0.289
5HGG,ranked_2,0.43256876,0.289
