MODEL,PRED_DOCKQ
model_5_multimer_20220423_294929_tidy,0.77447844
ranked_1_tidy,0.77190781
model_5_multimer_20220423_121312_tidy,0.77190781
model_5_multimer_20220423_296697_tidy,0.75689948
model_4_multimer_20220423_663901_tidy,0.73016202
model_4_multimer_20220423_121312_tidy,0.68654692
ranked_4_tidy,0.68654692
model_4_multimer_20220423_294929_tidy,0.67846841
model_2_multimer_20220423_121312_tidy,0.67284423
ranked_2_tidy,0.67284423
model_4_multimer_20220423_296697_tidy,0.66121441
model_1_multimer_20220423_296697_tidy,0.65636909
model_4_multimer_20220423_862209_tidy,0.63782173
model_1_multimer_20220423_294929_tidy,0.56449169
model_5_multimer_20220423_862209_tidy,0.5331198
model_3_multimer_20220423_294929_tidy,0.50514209
model_3_multimer_20220423_663901_tidy,0.47173995
model_1_multimer_20220423_663901_tidy,0.45802921
model_3_multimer_20220423_862209_tidy,0.45075285
model_5_multimer_20220423_663901_tidy,0.4380933
model_1_multimer_20220423_862209_tidy,0.42720127
model_3_multimer_20220423_296697_tidy,0.34957597
model_2_multimer_20220423_296697_tidy,0.34643635
model_2_multimer_20220423_862209_tidy,0.30662075
model_2_multimer_20220423_663901_tidy,0.26108658
ranked_3_tidy,0.24668565
model_1_multimer_20220423_121312_tidy,0.24668565
model_2_multimer_20220423_294929_tidy,0.18353711
ranked_0_tidy,0.18197671
model_3_multimer_20220423_121312_tidy,0.18197671
