TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7SGM,fold_7sgm_2_model_1,0.28542948,0.833
7SGM,fold_7sgm_2_model_4,0.19026701,0.793
7SGM,fold_7sgm_2_model_2,0.16045687,0.837
7SGM,fold_7sgm_5_model_0,0.13454054,0.545
7SGM,fold_7sgm_1_model_3,0.12922317,0.829
7SGM,fold_7sgm_5_model_4,0.1287294,0.564
7SGM,fold_7sgm_4_model_4,0.11448601,0.548
7SGM,fold_7sgm_4_model_2,0.10907035,0.576
7SGM,fold_7sgm_1_model_4,0.10617488,0.851
7SGM,fold_7sgm_4_model_1,0.10040537,0.54
7SGM,fold_7sgm_2_model_0,0.09659888,0.566
7SGM,fold_7sgm_1_model_1,0.09401932,0.535
7SGM,fold_7sgm_1_model_0,0.09164291,0.555
7SGM,fold_7sgm_3_model_3,0.09159902,0.783
7SGM,fold_7sgm_5_model_3,0.09005655,0.559
7SGM,fold_7sgm_3_model_0,0.0897592,0.845
7SGM,fold_7sgm_4_model_0,0.07960331,0.543
7SGM,fold_7sgm_5_model_2,0.07892852,0.571
7SGM,fold_7sgm_3_model_1,0.07623448,0.834
7SGM,fold_7sgm_3_model_4,0.0680448,0.835
7SGM,fold_7sgm_1_model_2,0.06678021,0.563
7SGM,fold_7sgm_4_model_3,0.06515122,0.572
7SGM,fold_7sgm_5_model_1,0.05421149,0.564
7SGM,fold_7sgm_2_model_3,0.05261544,0.824
7SGM,fold_7sgm_3_model_2,0.04626423,0.817
