MODEL,PRED_DOCKQ
fold_8gv6_5_model_3,0.69612956
fold_8gv6_5_model_4,0.67185163
fold_8gv6_3_model_2,0.53192973
fold_8gv6_2_model_2,0.49150339
fold_8gv6_2_model_4,0.47902811
fold_8gv6_2_model_1,0.42255494
fold_8gv6_4_model_3,0.41110644
fold_8gv6_3_model_0,0.40347359
fold_8gv6_3_model_1,0.39088064
fold_8gv6_3_model_4,0.36494821
fold_8gv6_5_model_0,0.36071867
fold_8gv6_3_model_3,0.34507784
fold_8gv6_1_model_1,0.33730146
fold_8gv6_1_model_4,0.3252286
fold_8gv6_5_model_1,0.3012878
fold_8gv6_1_model_2,0.27958092
fold_8gv6_4_model_4,0.27479759
fold_8gv6_2_model_0,0.25562766
fold_8gv6_2_model_3,0.23258919
fold_8gv6_4_model_0,0.22556898
fold_8gv6_1_model_0,0.22126013
fold_8gv6_4_model_2,0.19978978
fold_8gv6_1_model_3,0.19509178
fold_8gv6_4_model_1,0.18657854
fold_8gv6_5_model_2,0.18066894
