MODEL,PRED_DOCKQ
ranked_0_tidy,0.01612217
model_5_multimer_20220423_842283_tidy,0.01612217
model_5_multimer_20220423_018234_tidy,0.01434889
model_5_multimer_20220423_066513_tidy,0.01302542
model_1_multimer_20220423_066513_tidy,0.01179734
model_5_multimer_20220423_338795_tidy,0.0114136
ranked_3_tidy,0.0110837
model_4_multimer_20220423_842283_tidy,0.0110837
model_2_multimer_20220423_338795_tidy,0.01075432
model_5_multimer_20220423_920758_tidy,0.00966524
model_1_multimer_20220423_920758_tidy,0.00962631
model_4_multimer_20220423_018234_tidy,0.00961748
model_3_multimer_20220423_066513_tidy,0.00958877
ranked_2_tidy,0.00914113
model_3_multimer_20220423_842283_tidy,0.00914113
model_1_multimer_20220423_018234_tidy,0.00913092
model_4_multimer_20220423_920758_tidy,0.00910538
model_2_multimer_20220423_842283_tidy,0.00903235
ranked_4_tidy,0.00903235
model_3_multimer_20220423_338795_tidy,0.00870311
model_4_multimer_20220423_066513_tidy,0.0082426
ranked_1_tidy,0.00795979
model_1_multimer_20220423_842283_tidy,0.00795979
model_2_multimer_20220423_920758_tidy,0.00716911
model_3_multimer_20220423_018234_tidy,0.00684698
model_2_multimer_20220423_018234_tidy,0.00683487
model_4_multimer_20220423_338795_tidy,0.00673945
model_2_multimer_20220423_066513_tidy,0.00561511
model_3_multimer_20220423_920758_tidy,0.00535795
model_1_multimer_20220423_338795_tidy,0.0050878
