MODEL,PRED_DOCKQ
ori_template_pipeline_2,0.83823508
sequence_based_template_2,0.83805674
string_interact_uniprot_sto_0,0.83786297
uniprot_distance_uniref_sto_1,0.83624637
structure_temp_dimer_2,0.83499175
species_interact_uniprot_sto_0,0.83458954
pdb_interact_uniprot_sto_3,0.83456254
pdb_interact_uniref_sto_1,0.83436376
uniprot_distance_uniprot_sto_2,0.83409595
pdb_interact_uniprot_sto_0,0.8333059
uniprot_distance_uniref_a3m_3,0.83290303
structure_temp_dimer_0,0.83283526
sequence_based_template_0,0.83274341
pdb_interact_uniref_sto_0,0.83209848
string_interact_uniprot_sto_3,0.83185542
species_interact_uniref_a3m_0,0.83168697
default_0,0.83164835
species_interact_uniprot_sto_3,0.83158922
species_interact_uniref_a3m_1,0.8315208
default_4,0.83080095
uniprot_distance_uniref_a3m_4,0.83070618
species_interact_uniref_a3m_2,0.83041549
ori_template_pipeline_3,0.83018059
species_interact_uniref_a3m_3,0.83003128
pdb_interact_uniprot_sto_1,0.83001417
ori_template_pipeline_4,0.8297047
default_1,0.82963699
uniprot_distance_uniref_sto_0,0.82939237
sequence_based_template_4,0.82932937
ori_template_pipeline_0,0.82932377
string_interact_uniprot_sto_2,0.82925469
string_interact_uniref_a3m_1,0.82918215
sequence_based_template_1,0.82908159
uniprot_distance_uniprot_sto_3,0.82908112
uniprot_distance_uniref_sto_3,0.82900363
uniprot_distance_uniref_a3m_0,0.8286745
uniclust_oxmatch_a3m_3,0.82829785
custom_template_file_0,0.82828158
uniprot_distance_uniprot_sto_0,0.82797003
pdb_interact_uniref_a3m_2,0.82792443
string_interact_uniref_a3m_3,0.82791609
structure_temp_dimer_4,0.8277688
uniprot_distance_uniprot_sto_1,0.82712251
uniprot_distance_uniref_sto_4,0.82690507
pdb_interact_uniref_a3m_3,0.82661408
no_templates_0,0.82588881
custom_template_file_1,0.82578582
string_interact_uniref_sto_0,0.82529658
uniprot_distance_uniref_a3m_1,0.82525164
structure_temp_dimer_3,0.82519168
pdb_interact_uniprot_sto_4,0.8249169
species_interact_uniprot_sto_2,0.82467467
ori_template_pipeline_1,0.82461202
custom_template_file_2,0.82444584
pdb_interact_uniref_sto_2,0.82429045
species_interact_uniprot_sto_4,0.82423526
string_interact_uniref_a3m_0,0.82421029
pdb_interact_uniref_a3m_1,0.82420236
sequence_based_template_3,0.82411873
default_3,0.82394809
structure_temp_dimer_1,0.8239072
uniprot_distance_uniref_a3m_2,0.82343107
custom_template_file_4,0.82300276
uniprot_distance_uniref_sto_2,0.82140207
string_interact_uniref_a3m_2,0.82117701
string_interact_uniref_sto_4,0.82100493
uniclust_oxmatch_a3m_2,0.82039815
species_interact_uniref_sto_4,0.82019097
species_interact_uniref_sto_0,0.82004517
custom_template_file_3,0.81991285
pdb_interact_uniref_sto_3,0.81972212
string_interact_uniprot_sto_4,0.81958872
string_interact_uniref_sto_1,0.81891853
species_interact_uniref_sto_2,0.81845325
pdb_interact_uniprot_sto_2,0.81831992
string_interact_uniref_sto_3,0.81769454
pdb_interact_uniref_sto_4,0.81760639
uniclust_oxmatch_a3m_0,0.81757873
default_2,0.81722653
uniclust_oxmatch_a3m_4,0.81607538
uniclust_oxmatch_a3m_1,0.81550652
species_interact_uniref_sto_3,0.81473207
uniprot_distance_uniprot_sto_4,0.81437403
no_templates_1,0.81290603
string_interact_uniref_sto_2,0.81119388
pdb_interact_uniref_a3m_4,0.81069958
species_interact_uniprot_sto_1,0.80650216
species_interact_uniref_sto_1,0.80598056
string_interact_uniref_a3m_4,0.8005985
pdb_interact_uniref_a3m_0,0.79364771
species_interact_uniref_a3m_4,0.78767645
no_templates_2,0.78582126
no_templates_3,0.78099412
sequence_based_template_with_alphafold_4,0.77261496
sequence_based_template_with_alphafold_1,0.77191681
ori_temp_pipeline_with_alphafold_models_1,0.76702166
custom_template_with_alphafold_models_0,0.76386875
structure_temp_dimer_a_4,0.76269364
ori_temp_pipeline_with_alphafold_models_0,0.76190543
custom_template_with_alphafold_models_4,0.76172864
structure_temp_dimer_a_1,0.76104873
structure_temp_dimer_a_0,0.76021695
custom_template_with_alphafold_models_1,0.75957119
sequence_based_template_with_alphafold_0,0.75829184
string_interact_uniprot_sto_1,0.75574332
ori_temp_pipeline_with_alphafold_models_4,0.7550894
custom_template_with_alphafold_models_3,0.73957992
sequence_based_template_with_alphafold_3,0.73938423
structure_temp_dimer_a_3,0.73488462
ori_temp_pipeline_with_alphafold_models_3,0.71340412
custom_template_with_alphafold_models_2,0.63373578
sequence_based_template_with_alphafold_2,0.63231134
structure_temp_dimer_a_2,0.63153255
ori_temp_pipeline_with_alphafold_models_2,0.6314593
no_templates_4,0.54034245
