TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7SJO,fold_7sjo_1_model_0,0.41359133,0.573
7SJO,fold_7sjo_5_model_1,0.3956075,0.57
7SJO,fold_7sjo_5_model_2,0.34712702,0.575
7SJO,fold_7sjo_3_model_4,0.33854952,0.577
7SJO,fold_7sjo_3_model_3,0.33739212,0.579
7SJO,fold_7sjo_1_model_1,0.32623687,0.567
7SJO,fold_7sjo_4_model_2,0.3209618,0.586
7SJO,fold_7sjo_4_model_3,0.29358563,0.551
7SJO,fold_7sjo_5_model_4,0.2783314,0.571
7SJO,fold_7sjo_1_model_3,0.27276683,0.574
7SJO,fold_7sjo_2_model_3,0.26580939,0.59
7SJO,fold_7sjo_3_model_2,0.24796599,0.569
7SJO,fold_7sjo_2_model_0,0.24133378,0.598
7SJO,fold_7sjo_1_model_2,0.23031321,0.571
7SJO,fold_7sjo_5_model_0,0.22072919,0.57
7SJO,fold_7sjo_3_model_1,0.21233305,0.571
7SJO,fold_7sjo_2_model_1,0.18813446,0.598
7SJO,fold_7sjo_4_model_4,0.17653815,0.562
7SJO,fold_7sjo_2_model_4,0.16629368,0.559
7SJO,fold_7sjo_4_model_0,0.16348016,0.616
7SJO,fold_7sjo_3_model_0,0.15438432,0.571
7SJO,fold_7sjo_1_model_4,0.15371701,0.569
7SJO,fold_7sjo_4_model_1,0.15078704,0.62
7SJO,fold_7sjo_5_model_3,0.14013198,0.566
7SJO,fold_7sjo_2_model_2,0.11046078,0.619
