MODEL,PRED_DOCKQ
fold_7su0_5_model_3,0.36041451
fold_7su0_2_model_3,0.32520401
fold_7su0_2_model_4,0.29752788
fold_7su0_2_model_0,0.28902873
fold_7su0_2_model_2,0.27956048
fold_7su0_4_model_3,0.26695973
fold_7su0_5_model_2,0.26264268
fold_7su0_3_model_0,0.24972969
fold_7su0_1_model_4,0.23437449
fold_7su0_4_model_4,0.23055792
fold_7su0_1_model_2,0.21714197
fold_7su0_3_model_1,0.18621001
fold_7su0_3_model_2,0.1853517
fold_7su0_5_model_1,0.17916039
fold_7su0_1_model_1,0.16411866
fold_7su0_1_model_0,0.15520203
fold_7su0_3_model_4,0.14204545
fold_7su0_2_model_1,0.14064355
fold_7su0_3_model_3,0.13268226
fold_7su0_4_model_1,0.13260506
fold_7su0_5_model_0,0.12701848
fold_7su0_4_model_2,0.12668788
fold_7su0_4_model_0,0.12534195
fold_7su0_5_model_4,0.11431644
fold_7su0_1_model_3,0.0644694
