MODEL,PRED_DOCKQ
fold_7x7o_3_model_3,0.34298608
fold_7x7o_5_model_1,0.3096965
fold_7x7o_4_model_1,0.25979984
fold_7x7o_1_model_2,0.2318355
fold_7x7o_3_model_1,0.21973604
fold_7x7o_1_model_0,0.21663523
fold_7x7o_5_model_0,0.21097377
fold_7x7o_5_model_4,0.20198561
fold_7x7o_2_model_2,0.19324727
fold_7x7o_3_model_2,0.18626033
fold_7x7o_1_model_3,0.17898318
fold_7x7o_4_model_2,0.17790852
fold_7x7o_2_model_4,0.17369014
fold_7x7o_1_model_1,0.17219079
fold_7x7o_4_model_0,0.17017958
fold_7x7o_2_model_0,0.16932136
fold_7x7o_2_model_3,0.15443064
fold_7x7o_3_model_0,0.15189524
fold_7x7o_5_model_3,0.12771812
fold_7x7o_1_model_4,0.124394
fold_7x7o_4_model_4,0.11266453
fold_7x7o_4_model_3,0.09715021
fold_7x7o_2_model_1,0.09554497
fold_7x7o_3_model_4,0.0934664
fold_7x7o_5_model_2,0.08987603
