TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7OZN,pdb_interact_uniprot_sto_1,0.81948996,0.092
7OZN,pdb_interact_uniprot_sto_0,0.78869218,0.089
7OZN,no_templates_0,0.760867,0.011
7OZN,uniclust_oxmatch_a3m_4,0.75462586,0.01
7OZN,structure_temp_dimer_a_4,0.71640927,0.011
7OZN,species_interact_uniref_a3m_0,0.71463037,0.012
7OZN,custom_template_with_alphafold_models_3,0.70157707,0.011
7OZN,uniprot_distance_uniref_a3m_3,0.67775393,0.01
7OZN,sequence_based_template_1,0.66880989,0.008
7OZN,sequence_based_template_3,0.66460907,0.012
7OZN,ori_temp_pipeline_with_alphafold_models_1,0.66124791,0.011
7OZN,species_interact_uniref_sto_1,0.65956783,0.008
7OZN,structure_temp_dimer_a_1,0.6590094,0.011
7OZN,uniclust_oxmatch_a3m_2,0.65308744,0.011
7OZN,uniclust_oxmatch_a3m_0,0.63609672,0.011
7OZN,uniprot_distance_uniref_a3m_2,0.63537866,0.01
7OZN,structure_temp_dimer_1,0.63082457,0.009
7OZN,sequence_based_template_with_alphafold_1,0.60732698,0.011
7OZN,string_interact_uniref_a3m_2,0.60451198,0.01
7OZN,species_interact_uniref_a3m_3,0.59547788,0.011
7OZN,sequence_based_template_with_alphafold_3,0.59282047,0.011
7OZN,sequence_based_template_with_alphafold_2,0.5836671,0.01
7OZN,uniclust_oxmatch_a3m_1,0.56689727,0.01
7OZN,structure_temp_dimer_a_2,0.55383968,0.01
7OZN,custom_template_with_alphafold_models_2,0.53190905,0.01
7OZN,uniprot_distance_uniref_sto_4,0.50804377,0.012
7OZN,uniclust_oxmatch_a3m_3,0.5060423,0.01
7OZN,species_interact_uniref_a3m_4,0.49078688,0.01
7OZN,species_interact_uniref_a3m_1,0.42983341,0.011
7OZN,pdb_interact_uniprot_sto_2,0.40535226,0.012
7OZN,string_interact_uniref_a3m_1,0.40113664,0.011
7OZN,ori_temp_pipeline_with_alphafold_models_4,0.40066803,0.011
7OZN,species_interact_uniref_a3m_2,0.39966127,0.011
7OZN,ori_temp_pipeline_with_alphafold_models_2,0.39080662,0.01
7OZN,default_2,0.39062485,0.009
7OZN,custom_template_with_alphafold_models_1,0.38798061,0.011
7OZN,string_interact_uniref_a3m_3,0.37197036,0.011
7OZN,uniprot_distance_uniref_a3m_4,0.36987361,0.011
7OZN,uniprot_distance_uniref_a3m_1,0.35599095,0.01
7OZN,pdb_interact_uniref_sto_4,0.35544395,0.011
7OZN,species_interact_uniref_sto_2,0.33901498,0.017
7OZN,string_interact_uniref_a3m_0,0.27475932,0.01
7OZN,string_interact_uniprot_sto_0,0.25159615,0.308
7OZN,species_interact_uniref_sto_0,0.2392662,0.276
7OZN,no_templates_3,0.22540949,0.023
7OZN,default_0,0.21818803,0.007
7OZN,uniprot_distance_uniref_a3m_0,0.21169043,0.01
7OZN,species_interact_uniprot_sto_3,0.17151994,0.011
7OZN,default_1,0.16066447,0.007
7OZN,species_interact_uniprot_sto_2,0.15978692,0.013
7OZN,string_interact_uniref_a3m_4,0.15254268,0.011
7OZN,uniprot_distance_uniref_sto_0,0.14877447,0.274
7OZN,uniprot_distance_uniprot_sto_1,0.1454335,0.017
7OZN,string_interact_uniref_sto_3,0.13454485,0.022
7OZN,ori_temp_pipeline_with_alphafold_models_0,0.12233045,0.477
7OZN,structure_temp_dimer_a_0,0.11578671,0.474
7OZN,string_interact_uniprot_sto_1,0.11282795,0.027
7OZN,ori_template_pipeline_2,0.10311197,0.01
7OZN,structure_temp_dimer_3,0.10004592,0.01
7OZN,custom_template_with_alphafold_models_0,0.0987142,0.482
7OZN,sequence_based_template_0,0.09737709,0.5
7OZN,pdb_interact_uniref_sto_2,0.09149471,0.016
7OZN,custom_template_file_1,0.09045459,0.02
7OZN,custom_template_file_3,0.08184855,0.055
7OZN,sequence_based_template_with_alphafold_0,0.06672518,0.501
7OZN,pdb_interact_uniref_sto_3,0.06374996,0.011
7OZN,ori_template_pipeline_1,0.06217082,0.019
7OZN,pdb_interact_uniref_sto_0,0.06162045,0.266
7OZN,pdb_interact_uniprot_sto_3,0.05355385,0.054
7OZN,structure_temp_dimer_0,0.0519332,0.376
7OZN,ori_template_pipeline_4,0.05075901,0.031
7OZN,uniprot_distance_uniref_sto_3,0.05041886,0.016
7OZN,species_interact_uniprot_sto_0,0.04973002,0.27
7OZN,default_3,0.04882532,0.012
7OZN,pdb_interact_uniref_sto_1,0.04642732,0.019
7OZN,custom_template_file_4,0.04050006,0.016
7OZN,ori_template_pipeline_0,0.03891964,0.302
7OZN,string_interact_uniref_sto_2,0.03856363,0.015
7OZN,uniprot_distance_uniprot_sto_0,0.03221454,0.02
