MODEL,PRED_DOCKQ
fold_7zf9_3_model_1,0.33927289
fold_7zf9_4_model_2,0.32010141
fold_7zf9_1_model_4,0.27933478
fold_7zf9_4_model_4,0.24933605
fold_7zf9_5_model_0,0.18130967
fold_7zf9_3_model_4,0.17543663
fold_7zf9_4_model_0,0.15679471
fold_7zf9_1_model_0,0.15417148
fold_7zf9_2_model_1,0.15344961
fold_7zf9_3_model_2,0.14760721
fold_7zf9_2_model_2,0.14679138
fold_7zf9_1_model_2,0.13622092
fold_7zf9_3_model_0,0.13055412
fold_7zf9_4_model_3,0.12176543
fold_7zf9_1_model_3,0.12001058
fold_7zf9_5_model_3,0.11561204
fold_7zf9_2_model_0,0.11535992
fold_7zf9_5_model_4,0.10931886
fold_7zf9_5_model_2,0.10662245
fold_7zf9_2_model_3,0.10573288
fold_7zf9_5_model_1,0.10439318
fold_7zf9_4_model_1,0.10226933
fold_7zf9_2_model_4,0.10115483
fold_7zf9_1_model_1,0.09447777
fold_7zf9_3_model_3,0.08222187
