MODEL,PRED_DOCKQ
fold_7yqx_2_model_4,0.42276365
fold_7yqx_3_model_4,0.42247331
fold_7yqx_5_model_4,0.42229894
fold_7yqx_5_model_1,0.42223275
fold_7yqx_1_model_3,0.42221755
fold_7yqx_3_model_2,0.4222025
fold_7yqx_2_model_2,0.42218164
fold_7yqx_3_model_0,0.42213604
fold_7yqx_1_model_1,0.42200574
fold_7yqx_4_model_4,0.42193612
fold_7yqx_2_model_3,0.42187801
fold_7yqx_4_model_0,0.42184845
fold_7yqx_4_model_1,0.42178538
fold_7yqx_5_model_2,0.42176682
fold_7yqx_1_model_4,0.42173806
fold_7yqx_4_model_3,0.42171916
fold_7yqx_2_model_0,0.42170453
fold_7yqx_3_model_1,0.42162225
fold_7yqx_4_model_2,0.42161953
fold_7yqx_5_model_3,0.42161343
fold_7yqx_1_model_2,0.42156291
fold_7yqx_2_model_1,0.42153767
fold_7yqx_3_model_3,0.42152458
fold_7yqx_1_model_0,0.42146257
fold_7yqx_5_model_0,0.42138717
