TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
8B7W,fold_8b7w_3_model_1,0.42327636,0.022
8B7W,fold_8b7w_3_model_4,0.42316496,0.242
8B7W,fold_8b7w_3_model_2,0.4228999,0.14
8B7W,fold_8b7w_2_model_2,0.42269257,0.057
8B7W,fold_8b7w_4_model_2,0.42229652,0.057
8B7W,fold_8b7w_4_model_0,0.42218557,0.055
8B7W,fold_8b7w_2_model_0,0.42217803,0.019
8B7W,fold_8b7w_4_model_4,0.42209068,0.036
8B7W,fold_8b7w_1_model_0,0.42201105,0.084
8B7W,fold_8b7w_5_model_0,0.42199364,0.015
8B7W,fold_8b7w_5_model_4,0.42199004,0.018
8B7W,fold_8b7w_2_model_4,0.4218756,0.034
8B7W,fold_8b7w_4_model_1,0.42183325,0.055
8B7W,fold_8b7w_1_model_1,0.42158481,0.059
8B7W,fold_8b7w_5_model_1,0.42157412,0.015
8B7W,fold_8b7w_2_model_3,0.42154512,0.035
8B7W,fold_8b7w_3_model_0,0.42149827,0.208
8B7W,fold_8b7w_3_model_3,0.42149445,0.012
8B7W,fold_8b7w_1_model_4,0.42149156,0.014
8B7W,fold_8b7w_1_model_3,0.4214457,0.018
8B7W,fold_8b7w_5_model_3,0.42142856,0.043
8B7W,fold_8b7w_4_model_3,0.42140341,0.019
8B7W,fold_8b7w_1_model_2,0.42121509,0.048
8B7W,fold_8b7w_5_model_2,0.42116416,0.034
8B7W,fold_8b7w_2_model_1,0.420912,0.059
