TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7D3Y,string_interact_uniref_a3m_0,0.42426807,0.025
7D3Y,pdb_interact_uniref_a3m_0,0.42426807,0.025
7D3Y,uniprot_distance_uniref_a3m_0,0.42419437,0.025
7D3Y,structure_temp_dimer_0,0.42389384,0.312
7D3Y,ori_template_pipeline_0,0.42387807,0.326
7D3Y,sequence_based_template_0,0.42366588,0.328
7D3Y,custom_template_with_alphafold_models_1,0.4236272,0.316
7D3Y,sequence_based_template_with_alphafold_1,0.4236272,0.316
7D3Y,custom_template_file_4,0.42358437,0.01
7D3Y,species_interact_uniref_a3m_1,0.42357749,0.007
7D3Y,uniprot_distance_uniref_sto_1,0.42353997,0.309
7D3Y,sequence_based_template_1,0.42346355,0.022
7D3Y,default_2,0.42344654,0.023
7D3Y,uniprot_distance_uniref_a3m_3,0.42337716,0.009
7D3Y,custom_template_file_1,0.42335841,0.012
7D3Y,structure_temp_dimer_a_1,0.42329901,0.316
7D3Y,uniclust_oxmatch_a3m_0,0.42328671,0.012
7D3Y,ori_temp_pipeline_with_alphafold_models_1,0.42318463,0.316
7D3Y,no_templates_2,0.4231528,0.014
7D3Y,no_templates_4,0.42313299,0.012
7D3Y,string_interact_uniref_sto_4,0.42307886,0.017
7D3Y,ori_temp_pipeline_with_alphafold_models_4,0.42306718,0.016
7D3Y,default_4,0.42299932,0.325
7D3Y,default_0,0.42299241,0.317
7D3Y,uniclust_oxmatch_a3m_2,0.42296487,0.058
7D3Y,uniprot_distance_uniprot_sto_2,0.42290124,0.025
7D3Y,species_interact_uniref_sto_3,0.42288986,0.08
7D3Y,pdb_interact_uniref_a3m_3,0.42286351,0.009
7D3Y,string_interact_uniref_a3m_3,0.42286351,0.009
7D3Y,ori_template_pipeline_2,0.42286167,0.294
7D3Y,custom_template_file_3,0.4228228,0.333
7D3Y,species_interact_uniref_sto_0,0.42276385,0.312
7D3Y,species_interact_uniprot_sto_2,0.4226954,0.013
7D3Y,ori_temp_pipeline_with_alphafold_models_2,0.42268887,0.324
7D3Y,sequence_based_template_3,0.42268845,0.133
7D3Y,no_templates_1,0.42267203,0.293
7D3Y,structure_temp_dimer_2,0.42265245,0.316
7D3Y,uniclust_oxmatch_a3m_4,0.42264155,0.012
7D3Y,uniprot_distance_uniref_sto_3,0.42263627,0.019
7D3Y,structure_temp_dimer_1,0.42263421,0.013
7D3Y,custom_template_with_alphafold_models_2,0.42262593,0.324
7D3Y,sequence_based_template_with_alphafold_2,0.42262593,0.324
