MODEL,PRED_DOCKQ
fold_7yqz_4_model_1,0.11402189
fold_7yqz_3_model_1,0.09643924
fold_7yqz_3_model_3,0.09177935
fold_7yqz_3_model_0,0.09015718
fold_7yqz_5_model_4,0.0836001
fold_7yqz_4_model_4,0.08129036
fold_7yqz_5_model_1,0.07538714
fold_7yqz_1_model_3,0.06709429
fold_7yqz_2_model_3,0.06690313
fold_7yqz_4_model_3,0.06663299
fold_7yqz_4_model_0,0.06367269
fold_7yqz_1_model_2,0.05989889
fold_7yqz_1_model_4,0.05893502
fold_7yqz_5_model_0,0.05786869
fold_7yqz_2_model_2,0.0572346
fold_7yqz_2_model_1,0.05654311
fold_7yqz_1_model_0,0.05606621
fold_7yqz_1_model_1,0.05586608
fold_7yqz_4_model_2,0.04940413
fold_7yqz_2_model_0,0.04616186
fold_7yqz_3_model_2,0.04430453
fold_7yqz_2_model_4,0.04346235
fold_7yqz_5_model_2,0.03804465
fold_7yqz_5_model_3,0.03766292
fold_7yqz_3_model_4,0.02238848
