TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
3WD5,model_5_multimer_20220423_748853,0.55212671,0.725
3WD5,model_5_multimer_20220423_528879,0.52308697,0.736
3WD5,model_5_multimer_20220423_477418,0.24563177,0.52
3WD5,model_4_multimer_20220423_748853,0.19826189,0.631
3WD5,model_4_multimer_20220423_110354,0.1726187,0.598
3WD5,ranked_0,0.1726187,0.598
3WD5,model_1_multimer_20220423_477418,0.13500266,0.544
3WD5,model_4_multimer_20220423_662178,0.09324261,0.627
3WD5,model_2_multimer_20220423_477418,0.04866001,0.053
3WD5,ranked_1,0.0478873,0.504
3WD5,model_5_multimer_20220423_110354,0.0478873,0.504
3WD5,ranked_2,0.039615,0.419
3WD5,model_1_multimer_20220423_110354,0.039615,0.419
3WD5,model_5_multimer_20220423_662178,0.0289052,0.304
3WD5,model_3_multimer_20220423_662178,0.02857005,0.07
3WD5,model_2_multimer_20220423_528879,0.02423037,0.096
3WD5,ranked_3,0.02399353,0.099
3WD5,model_2_multimer_20220423_110354,0.02399353,0.099
3WD5,model_3_multimer_20220423_110354,0.02067253,0.084
3WD5,ranked_4,0.02067253,0.084
3WD5,model_1_multimer_20220423_662178,0.02034816,0.214
3WD5,model_3_multimer_20220423_528879,0.01655365,0.064
3WD5,model_3_multimer_20220423_477418,0.01646879,0.146
3WD5,model_4_multimer_20220423_477418,0.01624567,0.027
3WD5,model_2_multimer_20220423_748853,0.01600873,0.239
3WD5,model_4_multimer_20220423_528879,0.01580567,0.032
3WD5,model_3_multimer_20220423_748853,0.01317604,0.104
3WD5,model_2_multimer_20220423_662178,0.01312331,0.057
3WD5,model_1_multimer_20220423_528879,0.01310901,0.109
3WD5,model_1_multimer_20220423_748853,0.01286551,0.069
