MODEL,PRED_DOCKQ
fold_7tyv_5_model_1,0.65707445
fold_7tyv_2_model_4,0.63155955
fold_7tyv_5_model_0,0.50484484
fold_7tyv_4_model_3,0.44321042
fold_7tyv_2_model_0,0.43146357
fold_7tyv_1_model_2,0.40414545
fold_7tyv_2_model_3,0.37164554
fold_7tyv_1_model_1,0.35983273
fold_7tyv_3_model_1,0.35486251
fold_7tyv_4_model_0,0.32613975
fold_7tyv_5_model_4,0.31545749
fold_7tyv_2_model_1,0.3038173
fold_7tyv_5_model_2,0.30358094
fold_7tyv_1_model_4,0.27338517
fold_7tyv_1_model_0,0.27242571
fold_7tyv_3_model_4,0.25464925
fold_7tyv_4_model_4,0.24988431
fold_7tyv_1_model_3,0.19810419
fold_7tyv_2_model_2,0.18547902
fold_7tyv_4_model_2,0.17228393
fold_7tyv_5_model_3,0.16708834
fold_7tyv_3_model_2,0.14246465
fold_7tyv_3_model_3,0.1294464
fold_7tyv_3_model_0,0.10568295
fold_7tyv_4_model_1,0.0979888
