MODEL,PRED_DOCKQ
ranked_0_tidy,0.77157974
model_1_multimer_20220423_840023_tidy,0.77157974
model_5_multimer_20220423_005507_tidy,0.74815953
model_2_multimer_20220423_005507_tidy,0.72582501
ranked_4_tidy,0.71965575
model_5_multimer_20220423_840023_tidy,0.71965575
model_4_multimer_20220423_476080_tidy,0.70720077
model_4_multimer_20220423_005507_tidy,0.70077854
model_3_multimer_20220423_476080_tidy,0.69224024
model_4_multimer_20220423_266634_tidy,0.66978139
ranked_3_tidy,0.65813518
model_3_multimer_20220423_840023_tidy,0.65813518
ranked_2_tidy,0.65268427
model_4_multimer_20220423_840023_tidy,0.65268427
model_4_multimer_20220423_965846_tidy,0.58825284
model_1_multimer_20220423_005507_tidy,0.50048226
model_5_multimer_20220423_266634_tidy,0.34517199
model_1_multimer_20220423_476080_tidy,0.33697143
model_5_multimer_20220423_965846_tidy,0.28410691
model_2_multimer_20220423_476080_tidy,0.26857463
model_2_multimer_20220423_965846_tidy,0.26778129
model_2_multimer_20220423_266634_tidy,0.26266372
model_1_multimer_20220423_266634_tidy,0.24152459
ranked_1_tidy,0.22930665
model_2_multimer_20220423_840023_tidy,0.22930665
model_5_multimer_20220423_476080_tidy,0.18374811
model_1_multimer_20220423_965846_tidy,0.07806667
model_3_multimer_20220423_005507_tidy,0.06233388
model_3_multimer_20220423_965846_tidy,0.05397252
model_3_multimer_20220423_266634_tidy,0.04073411
