TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7O27,species_interact_uniref_sto_0,0.85600829,0.694
7O27,pdb_interact_uniprot_sto_0,0.85279036,0.684
7O27,uniprot_distance_uniprot_sto_1,0.850631,0.681
7O27,uniclust_oxmatch_a3m_0,0.84842151,0.742
7O27,pdb_interact_uniref_sto_0,0.84761328,0.675
7O27,string_interact_uniprot_sto_0,0.84354961,0.706
7O27,structure_temp_dimer_a_0,0.84076083,0.682
7O27,string_interact_uniref_sto_2,0.8395611,0.713
7O27,sequence_based_template_with_alphafold_1,0.83625013,0.395
7O27,ori_temp_pipeline_with_alphafold_models_1,0.83625013,0.395
7O27,uniprot_distance_uniprot_sto_0,0.83605731,0.692
7O27,pdb_interact_uniref_sto_3,0.8339327,0.703
7O27,structure_temp_dimer_a_1,0.83286113,0.395
7O27,custom_template_with_alphafold_models_0,0.83249527,0.682
7O27,string_interact_uniprot_sto_1,0.83205324,0.7
7O27,custom_template_with_alphafold_models_1,0.82658732,0.395
7O27,sequence_based_template_with_alphafold_0,0.8253625,0.682
7O27,ori_temp_pipeline_with_alphafold_models_0,0.8253625,0.682
7O27,uniprot_distance_uniprot_sto_3,0.82193178,0.705
7O27,default_1,0.81770456,0.705
7O27,default_0,0.81249785,0.681
7O27,pdb_interact_uniprot_sto_1,0.80709374,0.704
7O27,string_interact_uniref_a3m_3,0.80281627,0.744
7O27,sequence_based_template_with_alphafold_3,0.80218804,0.673
7O27,ori_temp_pipeline_with_alphafold_models_3,0.80218804,0.673
7O27,structure_temp_dimer_a_3,0.79827702,0.673
7O27,species_interact_uniref_sto_1,0.79558939,0.706
7O27,pdb_interact_uniref_sto_2,0.79330015,0.705
7O27,pdb_interact_uniref_a3m_1,0.79120404,0.758
7O27,custom_template_with_alphafold_models_3,0.7893067,0.672
7O27,sequence_based_template_4,0.78838181,0.693
7O27,sequence_based_template_3,0.78664571,0.631
7O27,ori_template_pipeline_2,0.78660232,0.704
7O27,pdb_interact_uniprot_sto_4,0.78521335,0.714
7O27,default_4,0.77100098,0.716
7O27,string_interact_uniref_sto_0,0.77090824,0.704
7O27,species_interact_uniref_sto_4,0.77081919,0.732
7O27,pdb_interact_uniref_a3m_4,0.76947212,0.746
7O27,string_interact_uniref_sto_4,0.76897699,0.732
7O27,species_interact_uniprot_sto_2,0.76757151,0.737
7O27,sequence_based_template_with_alphafold_2,0.76274669,0.397
7O27,ori_temp_pipeline_with_alphafold_models_2,0.76274669,0.397
7O27,ori_template_pipeline_1,0.75662971,0.725
7O27,species_interact_uniprot_sto_0,0.7518214,0.711
7O27,species_interact_uniref_a3m_1,0.74996871,0.742
7O27,string_interact_uniref_sto_3,0.74983585,0.707
7O27,species_interact_uniprot_sto_3,0.74811208,0.736
7O27,string_interact_uniprot_sto_2,0.74692136,0.709
7O27,uniprot_distance_uniref_sto_2,0.74497968,0.699
7O27,uniprot_distance_uniref_a3m_4,0.73976582,0.741
7O27,pdb_interact_uniprot_sto_2,0.7384606,0.7
7O27,pdb_interact_uniref_sto_1,0.72758806,0.693
7O27,species_interact_uniref_a3m_3,0.72561228,0.742
7O27,uniprot_distance_uniref_a3m_1,0.72472638,0.755
7O27,uniprot_distance_uniref_sto_1,0.72197056,0.699
7O27,uniprot_distance_uniref_sto_0,0.71505582,0.696
7O27,species_interact_uniref_a3m_0,0.71452099,0.745
7O27,structure_temp_dimer_a_2,0.70669496,0.397
7O27,uniclust_oxmatch_a3m_4,0.70049226,0.732
7O27,string_interact_uniprot_sto_3,0.70040232,0.711
7O27,ori_template_pipeline_3,0.68934774,0.722
7O27,string_interact_uniref_a3m_2,0.67223978,0.755
7O27,uniprot_distance_uniref_a3m_3,0.66637284,0.746
7O27,ori_template_pipeline_4,0.65489978,0.737
7O27,uniprot_distance_uniprot_sto_2,0.65300459,0.702
7O27,default_2,0.64638048,0.734
7O27,custom_template_with_alphafold_models_2,0.63201845,0.397
7O27,sequence_based_template_1,0.62873954,0.728
7O27,string_interact_uniref_a3m_1,0.61731881,0.746
7O27,ori_template_pipeline_0,0.60946488,0.706
7O27,pdb_interact_uniref_a3m_2,0.59891784,0.746
7O27,structure_temp_dimer_0,0.46677148,0.427
7O27,pdb_interact_uniprot_sto_3,0.46310061,0.71
7O27,uniprot_distance_uniref_a3m_2,0.44802517,0.761
7O27,uniprot_distance_uniref_a3m_0,0.42426607,0.742
7O27,uniprot_distance_uniref_sto_3,0.39435229,0.701
7O27,custom_template_file_0,0.38928679,0.427
7O27,string_interact_uniprot_sto_4,0.37066308,0.716
7O27,pdb_interact_uniref_sto_4,0.35337263,0.708
7O27,uniprot_distance_uniref_sto_4,0.34587446,0.712
7O27,species_interact_uniprot_sto_4,0.33651134,0.737
7O27,sequence_based_template_0,0.31087086,0.731
7O27,string_interact_uniref_a3m_4,0.29913148,0.737
7O27,sequence_based_template_2,0.29474807,0.731
7O27,default_3,0.2926423,0.721
7O27,species_interact_uniprot_sto_1,0.29192224,0.717
7O27,pdb_interact_uniref_a3m_0,0.25113371,0.743
7O27,string_interact_uniref_sto_1,0.25014818,0.713
7O27,uniclust_oxmatch_a3m_3,0.20173602,0.752
7O27,species_interact_uniref_sto_3,0.19161674,0.736
7O27,uniclust_oxmatch_a3m_2,0.1854113,0.744
7O27,species_interact_uniref_sto_2,0.18455015,0.717
7O27,string_interact_uniref_a3m_0,0.17996155,0.747
7O27,pdb_interact_uniref_a3m_3,0.14978984,0.756
7O27,custom_template_with_alphafold_models_4,0.1321284,0.397
7O27,uniprot_distance_uniprot_sto_4,0.12465141,0.714
7O27,species_interact_uniref_a3m_4,0.12313896,0.761
7O27,uniclust_oxmatch_a3m_1,0.11258843,0.734
7O27,no_templates_3,0.10298187,0.396
7O27,species_interact_uniref_a3m_2,0.10162845,0.753
7O27,no_templates_1,0.0989284,0.48
7O27,structure_temp_dimer_a_4,0.09088131,0.397
7O27,sequence_based_template_with_alphafold_4,0.08923687,0.397
7O27,ori_temp_pipeline_with_alphafold_models_4,0.08923687,0.397
7O27,structure_temp_dimer_3,0.05613199,0.517
7O27,structure_temp_dimer_4,0.04416522,0.459
7O27,no_templates_0,0.04326421,0.479
7O27,custom_template_file_3,0.03850181,0.516
7O27,no_templates_2,0.03709945,0.443
7O27,no_templates_4,0.03588792,0.427
7O27,structure_temp_dimer_2,0.02023263,0.476
7O27,custom_template_file_2,0.01693976,0.479
7O27,custom_template_file_4,0.01534294,0.468
7O27,custom_template_file_1,0.00626282,0.492
7O27,structure_temp_dimer_1,0.00514675,0.492
