MODEL,PRED_DOCKQ
fold_7t73_1_model_3,0.32743162
fold_7t73_3_model_2,0.30923194
fold_7t73_1_model_1,0.2896342
fold_7t73_2_model_4,0.28106931
fold_7t73_1_model_2,0.25804347
fold_7t73_5_model_2,0.23823571
fold_7t73_5_model_4,0.23183887
fold_7t73_4_model_3,0.21893494
fold_7t73_3_model_0,0.21813589
fold_7t73_3_model_1,0.19025676
fold_7t73_4_model_2,0.18077083
fold_7t73_4_model_0,0.17590459
fold_7t73_2_model_0,0.16975614
fold_7t73_4_model_1,0.16814028
fold_7t73_5_model_3,0.1640404
fold_7t73_2_model_3,0.14670588
fold_7t73_5_model_0,0.14662029
fold_7t73_2_model_1,0.13929155
fold_7t73_4_model_4,0.13202305
fold_7t73_1_model_0,0.13094689
fold_7t73_3_model_3,0.1274436
fold_7t73_3_model_4,0.12666221
fold_7t73_2_model_2,0.10866372
fold_7t73_5_model_1,0.09758493
fold_7t73_1_model_4,0.07730652
