MODEL,PRED_DOCKQ
fold_7tee_3_model_1,0.21530013
fold_7tee_3_model_3,0.20402639
fold_7tee_2_model_2,0.20318748
fold_7tee_1_model_0,0.1864184
fold_7tee_3_model_0,0.17776102
fold_7tee_5_model_1,0.17465737
fold_7tee_4_model_3,0.16682228
fold_7tee_4_model_1,0.14628187
fold_7tee_1_model_2,0.14461531
fold_7tee_1_model_4,0.14413519
fold_7tee_4_model_0,0.14113513
fold_7tee_4_model_4,0.13765107
fold_7tee_2_model_0,0.13434207
fold_7tee_2_model_1,0.13331372
fold_7tee_5_model_4,0.13224554
fold_7tee_5_model_3,0.12664258
fold_7tee_2_model_3,0.12322251
fold_7tee_1_model_3,0.11753318
fold_7tee_3_model_2,0.11605146
fold_7tee_2_model_4,0.11090174
fold_7tee_4_model_2,0.109924
fold_7tee_3_model_4,0.09519955
fold_7tee_5_model_0,0.08930003
fold_7tee_1_model_1,0.0883827
fold_7tee_5_model_2,0.0714245
