MODEL,PRED_DOCKQ
string_interact_uniref_sto_0,0.84589183
string_interact_uniref_a3m_2,0.83354849
default_1,0.82946837
pdb_interact_uniprot_sto_1,0.82260787
string_interact_uniprot_sto_0,0.82156289
uniprot_distance_uniprot_sto_0,0.82008153
pdb_interact_uniprot_sto_0,0.81946021
species_interact_uniprot_sto_0,0.8160919
species_interact_uniprot_sto_1,0.81597227
default_0,0.81479019
uniprot_distance_uniref_a3m_2,0.81282479
string_interact_uniprot_sto_3,0.81276619
uniprot_distance_uniprot_sto_1,0.8127448
ori_template_pipeline_2,0.81068403
uniprot_distance_uniref_sto_0,0.8086307
species_interact_uniref_sto_0,0.8061763
pdb_interact_uniprot_sto_2,0.80490285
species_interact_uniprot_sto_3,0.8007977
structure_temp_dimer_4,0.79669017
sequence_based_template_with_alphafold_3,0.79469597
string_interact_uniref_sto_2,0.79438597
ori_template_pipeline_1,0.79406488
string_interact_uniprot_sto_2,0.79277676
custom_template_file_4,0.79268861
sequence_based_template_3,0.79142386
default_4,0.7872749
string_interact_uniref_sto_1,0.78037721
string_interact_uniprot_sto_1,0.77454692
structure_temp_dimer_a_3,0.77452117
uniprot_distance_uniprot_sto_3,0.77264059
pdb_interact_uniprot_sto_3,0.7707637
custom_template_with_alphafold_models_3,0.76452059
ori_temp_pipeline_with_alphafold_models_3,0.7557224
species_interact_uniref_sto_1,0.75134051
species_interact_uniprot_sto_2,0.74578398
sequence_based_template_2,0.73442507
ori_template_pipeline_3,0.7317273
uniclust_oxmatch_a3m_4,0.72561634
pdb_interact_uniref_a3m_4,0.72534049
uniprot_distance_uniref_a3m_0,0.72120178
uniprot_distance_uniref_sto_1,0.71263129
pdb_interact_uniref_sto_2,0.70161283
ori_temp_pipeline_with_alphafold_models_2,0.70028806
string_interact_uniref_a3m_4,0.70011818
sequence_based_template_1,0.69777495
ori_temp_pipeline_with_alphafold_models_0,0.69274932
custom_template_with_alphafold_models_2,0.69074661
sequence_based_template_with_alphafold_2,0.68901151
structure_temp_dimer_a_2,0.68834257
structure_temp_dimer_a_0,0.68824899
custom_template_with_alphafold_models_0,0.685013
uniprot_distance_uniref_a3m_3,0.6724112
uniprot_distance_uniprot_sto_4,0.66887039
species_interact_uniref_a3m_0,0.66671497
sequence_based_template_with_alphafold_0,0.65223652
default_3,0.65212494
ori_template_pipeline_4,0.62369919
uniprot_distance_uniref_sto_3,0.62113994
pdb_interact_uniref_a3m_2,0.61134404
string_interact_uniref_a3m_0,0.55912095
pdb_interact_uniref_sto_1,0.55433124
ori_temp_pipeline_with_alphafold_models_1,0.54723072
species_interact_uniref_sto_3,0.53812581
ori_template_pipeline_0,0.53773224
sequence_based_template_with_alphafold_1,0.53157794
uniclust_oxmatch_a3m_3,0.52801132
structure_temp_dimer_a_1,0.51416576
species_interact_uniref_a3m_2,0.51399195
structure_temp_dimer_0,0.50944054
uniprot_distance_uniref_sto_4,0.5075534
custom_template_with_alphafold_models_1,0.50397533
structure_temp_dimer_3,0.47982934
custom_template_file_0,0.47415227
uniprot_distance_uniref_a3m_1,0.45633206
uniprot_distance_uniref_sto_2,0.44393268
custom_template_file_3,0.4370079
species_interact_uniprot_sto_4,0.42117339
structure_temp_dimer_a_4,0.41090447
structure_temp_dimer_1,0.40390003
sequence_based_template_with_alphafold_4,0.40308529
custom_template_with_alphafold_models_4,0.40077537
ori_temp_pipeline_with_alphafold_models_4,0.39839363
pdb_interact_uniref_a3m_1,0.39393446
custom_template_file_1,0.39035839
string_interact_uniprot_sto_4,0.38639349
pdb_interact_uniref_sto_0,0.37919217
string_interact_uniref_sto_3,0.37910333
uniprot_distance_uniprot_sto_2,0.36203134
pdb_interact_uniref_sto_3,0.3616285
pdb_interact_uniref_sto_4,0.35653585
default_2,0.35439417
string_interact_uniref_sto_4,0.34039986
species_interact_uniref_a3m_4,0.32741389
structure_temp_dimer_2,0.31422994
uniprot_distance_uniref_a3m_4,0.28526473
species_interact_uniref_a3m_1,0.28012341
species_interact_uniref_sto_4,0.28003818
custom_template_file_2,0.27328679
species_interact_uniref_sto_2,0.25333172
uniclust_oxmatch_a3m_0,0.22955351
no_templates_1,0.22755679
string_interact_uniref_a3m_3,0.20916447
pdb_interact_uniref_a3m_3,0.18831611
pdb_interact_uniprot_sto_4,0.17050418
sequence_based_template_4,0.13685581
sequence_based_template_0,0.1319382
pdb_interact_uniref_a3m_0,0.12035041
uniclust_oxmatch_a3m_2,0.11880174
no_templates_3,0.10768114
uniclust_oxmatch_a3m_1,0.08629894
species_interact_uniref_a3m_3,0.06288125
string_interact_uniref_a3m_1,0.04987734
no_templates_0,0.04311043
no_templates_4,0.03906862
no_templates_2,0.03757995
