TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
3U7Y,model_5_multimer_20220423_993088,0.39082575,0.805
3U7Y,model_5_multimer_20220423_078501,0.18692468,0.784
3U7Y,model_4_multimer_20220423_513039,0.06845656,0.038
3U7Y,model_4_multimer_20220423_359803,0.06681674,0.045
3U7Y,model_5_multimer_20220423_513039,0.06327426,0.045
3U7Y,model_5_multimer_20220423_305297,0.06086099,0.045
3U7Y,ranked_1,0.06086099,0.045
3U7Y,model_4_multimer_20220423_993088,0.05676408,0.043
3U7Y,model_5_multimer_20220423_359803,0.04194383,0.033
3U7Y,model_3_multimer_20220423_359803,0.04007586,0.043
3U7Y,ranked_2,0.03762217,0.047
3U7Y,model_4_multimer_20220423_305297,0.03762217,0.047
3U7Y,model_4_multimer_20220423_078501,0.03458285,0.037
3U7Y,model_3_multimer_20220423_993088,0.03199533,0.064
3U7Y,ranked_0,0.02896719,0.074
3U7Y,model_3_multimer_20220423_305297,0.02896719,0.074
3U7Y,model_3_multimer_20220423_078501,0.02824088,0.066
3U7Y,model_2_multimer_20220423_359803,0.02743298,0.041
3U7Y,model_1_multimer_20220423_078501,0.0268039,0.034
3U7Y,model_1_multimer_20220423_513039,0.02617311,0.042
3U7Y,model_1_multimer_20220423_305297,0.02590355,0.039
3U7Y,ranked_4,0.02590355,0.039
3U7Y,model_3_multimer_20220423_513039,0.02412622,0.057
3U7Y,model_1_multimer_20220423_993088,0.02339417,0.033
3U7Y,model_2_multimer_20220423_078501,0.02273003,0.046
3U7Y,model_2_multimer_20220423_305297,0.0200487,0.06
3U7Y,ranked_3,0.0200487,0.06
3U7Y,model_2_multimer_20220423_993088,0.01836741,0.049
3U7Y,model_1_multimer_20220423_359803,0.01805378,0.044
3U7Y,model_2_multimer_20220423_513039,0.01530316,0.049
