MODEL,PRED_DOCKQ
model_2_multimer_20220423_751456_tidy,0.20327444
model_2_multimer_20220423_574203_tidy,0.17553997
model_2_multimer_20220423_727554_tidy,0.17068717
model_3_multimer_20220423_574203_tidy,0.17058
model_3_multimer_20220423_569004_tidy,0.16102163
model_1_multimer_20220423_555805_tidy,0.15607661
ranked_0_tidy,0.15607661
model_1_multimer_20220423_569004_tidy,0.14919253
model_4_multimer_20220423_555805_tidy,0.1369791
ranked_4_tidy,0.1369791
model_1_multimer_20220423_751456_tidy,0.11356885
model_5_multimer_20220423_569004_tidy,0.10194539
model_2_multimer_20220423_569004_tidy,0.09303801
model_2_multimer_20220423_555805_tidy,0.08545654
ranked_1_tidy,0.08545654
model_5_multimer_20220423_751456_tidy,0.08443339
model_4_multimer_20220423_751456_tidy,0.07609737
model_5_multimer_20220423_555805_tidy,0.06633603
ranked_3_tidy,0.06633603
model_5_multimer_20220423_574203_tidy,0.06478717
model_1_multimer_20220423_727554_tidy,0.06156634
model_4_multimer_20220423_569004_tidy,0.04268672
model_3_multimer_20220423_751456_tidy,0.04166849
model_5_multimer_20220423_727554_tidy,0.03905291
model_4_multimer_20220423_574203_tidy,0.03670442
model_3_multimer_20220423_555805_tidy,0.03457673
ranked_2_tidy,0.03457673
model_4_multimer_20220423_727554_tidy,0.0327236
model_1_multimer_20220423_574203_tidy,0.02121663
model_3_multimer_20220423_727554_tidy,0.01427498
