epoch,step,train_mse,val_loss,val_pearson_corr,val_spearman_corr
0,33,,0.14049562811851501,0.4540305435657501,0.4162989854812622
0,33,0.1419685333967209,,,
1,67,,0.13839878141880035,0.5366143584251404,0.49584299325942993
1,67,0.14006388187408447,,,
2,101,,0.14167635142803192,0.568145751953125,0.6132867932319641
2,101,0.14007170498371124,,,
3,135,,0.10846363008022308,0.5091249346733093,0.6080498695373535
3,135,0.13056471943855286,,,
4,169,,0.09699886292219162,0.5975075960159302,0.6054137945175171
4,169,0.10994086414575577,,,
5,203,,0.08689898997545242,0.659194827079773,0.6099040508270264
5,203,0.09266763925552368,,,
6,237,,0.08042252063751221,0.6777940392494202,0.6081616282463074
6,237,0.08967045694589615,,,
7,271,,0.07886682450771332,0.6849598288536072,0.6234930157661438
7,271,0.09040725976228714,,,
8,305,,0.08450735360383987,0.6790812611579895,0.625900387763977
8,305,0.10145885497331619,,,
9,339,,0.07872956991195679,0.6816689968109131,0.6236750483512878
9,339,0.08714374899864197,,,
10,373,,0.07179976254701614,0.7052909731864929,0.6367453932762146
10,373,0.07832381874322891,,,
11,407,,0.08146807551383972,0.6920120716094971,0.6353005766868591
11,407,0.09508129209280014,,,
12,441,,0.08153054118156433,0.6900622248649597,0.6329666972160339
12,441,0.0716315507888794,,,
13,475,,0.07548337429761887,0.6994577050209045,0.6418654322624207
13,475,0.07579365372657776,,,
14,509,,0.08966077864170074,0.6648263335227966,0.6554192900657654
14,509,0.06652285158634186,,,
15,543,,0.07283827662467957,0.7008079290390015,0.6477347016334534
15,543,0.07461576908826828,,,
16,577,,0.06983523070812225,0.7203965783119202,0.661161482334137
16,577,0.06759245693683624,,,
17,611,,0.067914217710495,0.7260987162590027,0.6632794737815857
17,611,0.06799621880054474,,,
18,645,,0.08657696098089218,0.6967138051986694,0.6830028295516968
18,645,0.06793338060379028,,,
19,679,,0.0851018950343132,0.6954562067985535,0.6860150694847107
19,679,0.07412183284759521,,,
20,713,,0.07040897011756897,0.7230619788169861,0.6797159314155579
20,713,0.0684860423207283,,,
21,747,,0.06885389983654022,0.7178555130958557,0.6622287631034851
21,747,0.07004918903112411,,,
22,781,,0.0672609955072403,0.7384098172187805,0.6761077046394348
22,781,0.06936140358448029,,,
23,815,,0.06942277401685715,0.7417382597923279,0.6779587864875793
23,815,0.06619463860988617,,,
24,849,,0.07784838229417801,0.7184764742851257,0.6746386289596558
24,849,0.07343246042728424,,,
25,883,,0.06311234831809998,0.7456722259521484,0.6906330585479736
25,883,0.06559337675571442,,,
26,917,,0.06714605540037155,0.7410799264907837,0.676596999168396
26,917,0.05509978532791138,,,
27,951,,0.06303482502698898,0.7543835043907166,0.6884217858314514
27,951,0.06876732409000397,,,
28,985,,0.056714970618486404,0.7731357216835022,0.6947790384292603
28,985,0.061944734305143356,,,
29,1019,,0.056958723813295364,0.7717965245246887,0.6907352805137634
29,1019,0.057583924382925034,,,
30,1053,,0.05693191662430763,0.7726942300796509,0.6910769939422607
30,1053,0.05521976575255394,,,
31,1087,,0.056114960461854935,0.7738628387451172,0.6856299042701721
31,1087,0.052292946726083755,,,
32,1121,,0.09325897693634033,0.7642342448234558,0.690974771976471
32,1121,0.06143615022301674,,,
33,1155,,0.06123249977827072,0.7567295432090759,0.7020516395568848
33,1155,0.06336720287799835,,,
34,1189,,0.05897598713636398,0.7629179358482361,0.6888337731361389
34,1189,0.05478081479668617,,,
35,1223,,0.07033661007881165,0.747164249420166,0.6994947791099548
35,1223,0.06925823539495468,,,
36,1257,,0.06082828715443611,0.7731192111968994,0.7040757536888123
36,1257,0.0607110820710659,,,
37,1291,,0.0619347020983696,0.7543660402297974,0.6915598511695862
37,1291,0.06607849150896072,,,
38,1325,,0.0736120417714119,0.7404701113700867,0.6889845132827759
38,1325,0.06941500306129456,,,
39,1359,,0.05949713662266731,0.7724063396453857,0.694815456867218
39,1359,0.05405480042099953,,,
40,1393,,0.05802945792675018,0.7736676931381226,0.6921500563621521
40,1393,0.05273304507136345,,,
41,1427,,0.056367527693510056,0.7726299166679382,0.6905449032783508
41,1427,0.04693109169602394,,,
42,1461,,0.05691031739115715,0.770160436630249,0.6876827478408813
42,1461,0.05086630955338478,,,
43,1495,,0.05600139498710632,0.7760463953018188,0.6912865042686462
43,1495,0.05189695581793785,,,
44,1529,,0.06016765162348747,0.7562946677207947,0.6893945932388306
44,1529,0.04590104520320892,,,
45,1563,,0.05912104249000549,0.7644380331039429,0.6872605681419373
45,1563,0.04606461152434349,,,
46,1597,,0.05617700517177582,0.7745255827903748,0.6877913475036621
46,1597,0.045161183923482895,,,
47,1631,,0.056072529405355453,0.7788286209106445,0.6983948945999146
47,1631,0.050191208720207214,,,
48,1665,,0.05977242812514305,0.7571262121200562,0.6904439926147461
48,1665,0.04862507805228233,,,
49,1699,,0.05822295695543289,0.7885850667953491,0.698263943195343
49,1699,0.05036458000540733,,,
50,1733,,0.05426261946558952,0.7841492295265198,0.7010239362716675
50,1733,0.04336955025792122,,,
51,1767,,0.05443458631634712,0.7879773378372192,0.7051405310630798
51,1767,0.04914294555783272,,,
52,1801,,0.05747431889176369,0.7840933203697205,0.7014301419258118
52,1801,0.04631057754158974,,,
53,1835,,0.05818167328834534,0.7846317887306213,0.6993255615234375
53,1835,0.05057797580957413,,,
54,1869,,0.059856902807950974,0.7619738578796387,0.7034964561462402
54,1869,0.05211412534117699,,,
55,1903,,0.054933879524469376,0.7859635949134827,0.6994571089744568
55,1903,0.046110883355140686,,,
56,1937,,0.056479502469301224,0.7736776471138,0.7095656394958496
56,1937,0.05141381919384003,,,
57,1971,,0.05648983269929886,0.7735990881919861,0.6945778727531433
57,1971,0.04934496432542801,,,
58,2005,,0.05482328683137894,0.7811304926872253,0.69790118932724
58,2005,0.04213723912835121,,,
59,2039,,0.0546812042593956,0.7809045314788818,0.6992035508155823
59,2039,0.04992495849728584,,,
60,2073,,0.05439779907464981,0.786148726940155,0.7003602981567383
60,2073,0.037298139184713364,,,
61,2107,,0.05312507227063179,0.7894336581230164,0.7047010660171509
61,2107,0.04792259633541107,,,
62,2141,,0.05317332223057747,0.7887328863143921,0.7038764953613281
62,2141,0.05169094353914261,,,
63,2175,,0.05447135865688324,0.7814952731132507,0.703700840473175
63,2175,0.04787539318203926,,,
64,2209,,0.054348547011613846,0.7879859209060669,0.7045350074768066
64,2209,0.045629341155290604,,,
65,2243,,0.05413275584578514,0.7848793864250183,0.7047438621520996
65,2243,0.04551240801811218,,,
66,2277,,0.05445832759141922,0.7820696234703064,0.7061024308204651
66,2277,0.045354701578617096,,,
67,2311,,0.053330402821302414,0.7890252470970154,0.7052503824234009
67,2311,0.04719148948788643,,,
68,2345,,0.05380178987979889,0.7907895445823669,0.7048729062080383
68,2345,0.04738248884677887,,,
69,2379,,0.053652357310056686,0.7908530831336975,0.7048888802528381
69,2379,0.04999539256095886,,,
70,2413,,0.053644292056560516,0.7907655239105225,0.7049680948257446
70,2413,0.04886111617088318,,,
71,2447,,0.05365720018744469,0.790533721446991,0.7045982480049133
71,2447,0.039615120738744736,,,
72,2481,,0.053821463137865067,0.7907869815826416,0.7044666409492493
72,2481,0.049800049513578415,,,
73,2515,,0.053329743444919586,0.7882140278816223,0.704948902130127
73,2515,0.045621372759342194,,,
74,2549,,0.05342300608754158,0.7872348427772522,0.7049163579940796
74,2549,0.04346735402941704,,,
75,2583,,0.05334938317537308,0.7878292798995972,0.7055078148841858
75,2583,0.050182223320007324,,,
76,2617,,0.05329509451985359,0.7884652614593506,0.7054170966148376
76,2617,0.04987047612667084,,,
77,2651,,0.05328146368265152,0.788687527179718,0.7055646181106567
77,2651,0.04433735832571983,,,
78,2685,,0.05329475551843643,0.7887700796127319,0.7055927515029907
78,2685,0.04557414725422859,,,
79,2719,,0.05329512804746628,0.7886330485343933,0.7056125402450562
79,2719,0.044288333505392075,,,
80,2753,,0.053314290940761566,0.7882731556892395,0.7053091526031494
80,2753,0.04864444583654404,,,
81,2787,,0.05333128198981285,0.7881816625595093,0.7055889368057251
81,2787,0.0425037257373333,,,
82,2821,,0.05331071466207504,0.7885767221450806,0.7052861452102661
82,2821,0.05332883074879646,,,
83,2855,,0.05330916866660118,0.788642942905426,0.7053276896476746
83,2855,0.05160463973879814,,,
84,2889,,0.053310222923755646,0.7887597680091858,0.7052088975906372
84,2889,0.046133797615766525,,,
85,2923,,0.053310561925172806,0.7887646555900574,0.7053200006484985
85,2923,0.03871281072497368,,,
86,2957,,0.05331261456012726,0.7886470556259155,0.7052024602890015
86,2957,0.04741930216550827,,,
87,2991,,0.05331544578075409,0.7886037826538086,0.704992949962616
87,2991,0.040098581463098526,,,
88,3025,,0.053317952901124954,0.7886165380477905,0.7050108909606934
88,3025,0.03698942810297012,,,
89,3059,,0.05331649258732796,0.788637101650238,0.7050492167472839
89,3059,0.051120493561029434,,,
90,3093,,0.05331646278500557,0.7886290550231934,0.7050492167472839
90,3093,0.04496287181973457,,,
91,3127,,0.053317196667194366,0.788619339466095,0.704992949962616
91,3127,0.0386701375246048,,,
92,3161,,0.05331728234887123,0.7886179089546204,0.704992949962616
92,3161,0.04484860226511955,,,
93,3195,,0.05331713333725929,0.7886384725570679,0.7050492167472839
93,3195,0.04589701443910599,,,
94,3229,,0.053317539393901825,0.788628876209259,0.7050492167472839
94,3229,0.04713352397084236,,,
95,3263,,0.0533180832862854,0.7886436581611633,0.7050492167472839
95,3263,0.03993695229291916,,,
96,3297,,0.05331844091415405,0.7886375188827515,0.7050492167472839
96,3297,0.04413384199142456,,,
97,3331,,0.05331853777170181,0.7886384129524231,0.7050492167472839
97,3331,0.04604796692728996,,,
98,3365,,0.05331850424408913,0.7886373400688171,0.7050492167472839
98,3365,0.05144285783171654,,,
99,3399,,0.05331852659583092,0.7886373400688171,0.7050492167472839
99,3399,0.04413040727376938,,,
100,3433,,0.053318411111831665,0.7886402010917664,0.7050492167472839
100,3433,0.049637362360954285,,,
101,3467,,0.05331835523247719,0.7886434197425842,0.7050492167472839
101,3467,0.04834046959877014,,,
102,3501,,0.05331834405660629,0.7886457443237305,0.7050492167472839
102,3501,0.04238913953304291,,,
103,3535,,0.053318362683057785,0.7886495590209961,0.7050492167472839
103,3535,0.04589109495282173,,,
104,3569,,0.053318366408348083,0.7886494398117065,0.7050492167472839
104,3569,0.04530427232384682,,,
105,3603,,0.053318388760089874,0.7886497378349304,0.7050492167472839
105,3603,0.0435665063560009,,,
106,3637,,0.053318388760089874,0.78864985704422,0.7050492167472839
106,3637,0.04637128487229347,,,
107,3638,,0.05312507227063179,0.7894336581230164,0.7047010660171509
