epoch,step,train_mse,val_loss,val_pearson_corr,val_spearman_corr
0,33,,0.15283775329589844,0.06072799861431122,0.06953328102827072
0,33,0.1517861783504486,,,
1,67,,0.15444879233837128,-0.285879522562027,-0.20755188167095184
1,67,0.1399531215429306,,,
2,101,,0.14715859293937683,0.4136529862880707,0.35561177134513855
2,101,0.14914043247699738,,,
3,135,,0.1513841152191162,0.5231338739395142,0.5119898319244385
3,135,0.15124952793121338,,,
4,169,,0.14377307891845703,0.5177139043807983,0.4400079548358917
4,169,0.14205878973007202,,,
5,203,,0.1448032408952713,0.5369490385055542,0.514015257358551
5,203,0.13586580753326416,,,
6,237,,0.14340735971927643,0.41152483224868774,0.3105292320251465
6,237,0.14305740594863892,,,
7,271,,0.14645634591579437,0.5941529870033264,0.5603875517845154
7,271,0.1528017371892929,,,
8,305,,0.1393941193819046,0.6490459442138672,0.568040668964386
8,305,0.12435220181941986,,,
9,339,,0.13855934143066406,0.558953583240509,0.47923097014427185
9,339,0.15243563055992126,,,
10,373,,0.11432991176843643,0.6950449347496033,0.5716732740402222
10,373,0.1399620622396469,,,
11,407,,0.11586093157529831,0.7201848030090332,0.5969654321670532
11,407,0.11859701573848724,,,
12,441,,0.07731810957193375,0.7009008526802063,0.5831555128097534
12,441,0.11135882139205933,,,
13,475,,0.1117158979177475,0.6051363945007324,0.6197384595870972
13,475,0.10981234163045883,,,
14,509,,0.08238545805215836,0.699794590473175,0.5966631770133972
14,509,0.11867190897464752,,,
15,543,,0.08977857977151871,0.7379627227783203,0.6179347634315491
15,543,0.09967838227748871,,,
16,577,,0.07628445327281952,0.7308188080787659,0.6207159161567688
16,577,0.08808903396129608,,,
17,611,,0.0829237848520279,0.7106205821037292,0.6137580275535583
17,611,0.0989346131682396,,,
18,645,,0.0640229657292366,0.7559217214584351,0.637105405330658
18,645,0.07246097922325134,,,
19,679,,0.06550077348947525,0.7415114641189575,0.6374480128288269
19,679,0.08527486026287079,,,
20,713,,0.07113851606845856,0.7316597700119019,0.6293615698814392
20,713,0.0824175700545311,,,
21,747,,0.07799920439720154,0.7209469676017761,0.6357652544975281
21,747,0.08553598076105118,,,
22,781,,0.06797958165407181,0.7419964671134949,0.6467839479446411
22,781,0.07821958512067795,,,
23,815,,0.06198479235172272,0.7544311285018921,0.6476606130599976
23,815,0.07054668664932251,,,
24,849,,0.08411145955324173,0.7297758460044861,0.6599640846252441
24,849,0.08842180669307709,,,
25,883,,0.06114760786294937,0.7604615092277527,0.662060022354126
25,883,0.08701497316360474,,,
26,917,,0.06627597659826279,0.7681679725646973,0.6683779954910278
26,917,0.0816095694899559,,,
27,951,,0.06856996566057205,0.7350043058395386,0.679477334022522
27,951,0.07931451499462128,,,
28,985,,0.0694403275847435,0.7492660880088806,0.675240159034729
28,985,0.08697297424077988,,,
29,1019,,0.05960632115602493,0.7679116725921631,0.671683132648468
29,1019,0.06766406446695328,,,
30,1053,,0.08759298920631409,0.7668907046318054,0.6635462641716003
30,1053,0.08877719193696976,,,
31,1087,,0.0747702494263649,0.7601950764656067,0.6690833568572998
31,1087,0.08063601702451706,,,
32,1121,,0.06246518716216087,0.7823353409767151,0.6833467483520508
32,1121,0.07497458159923553,,,
33,1155,,0.05649331957101822,0.7806365489959717,0.6915137767791748
33,1155,0.07611548900604248,,,
34,1189,,0.090202197432518,0.7618141174316406,0.6705948710441589
34,1189,0.07730735093355179,,,
35,1223,,0.062215592712163925,0.763067901134491,0.6628661155700684
35,1223,0.0853988528251648,,,
36,1257,,0.06279076635837555,0.7655320763587952,0.689815878868103
36,1257,0.057167667895555496,,,
37,1291,,0.058203257620334625,0.7909218668937683,0.6888334155082703
37,1291,0.052730705589056015,,,
38,1325,,0.08120246976613998,0.7488484978675842,0.6856845021247864
38,1325,0.07188648730516434,,,
39,1359,,0.09090198576450348,0.7354873418807983,0.6819007396697998
39,1359,0.06962203234434128,,,
40,1393,,0.06041796877980232,0.7846038937568665,0.6929446458816528
40,1393,0.058427076786756516,,,
41,1427,,0.05292113870382309,0.794934868812561,0.6976604461669922
41,1427,0.052800972014665604,,,
42,1461,,0.0542365163564682,0.8008242845535278,0.6994742751121521
42,1461,0.06857467442750931,,,
43,1495,,0.05355603247880936,0.801021158695221,0.7034746408462524
43,1495,0.05582188814878464,,,
44,1529,,0.05253124609589577,0.8004662394523621,0.706190288066864
44,1529,0.06502276659011841,,,
45,1563,,0.05282464995980263,0.7975386381149292,0.7073541283607483
45,1563,0.059619687497615814,,,
46,1597,,0.05118263140320778,0.8048612475395203,0.7088404297828674
46,1597,0.07006026059389114,,,
47,1631,,0.054895635694265366,0.8111551403999329,0.7071123123168945
47,1631,0.06665050983428955,,,
48,1665,,0.0522674135863781,0.7998398542404175,0.7135159373283386
48,1665,0.06937352567911148,,,
49,1699,,0.0501503087580204,0.8072414994239807,0.7128206491470337
49,1699,0.05708944797515869,,,
50,1733,,0.050554465502500534,0.8067119717597961,0.7130070924758911
50,1733,0.06577301770448685,,,
51,1767,,0.049376700073480606,0.8110595941543579,0.716493546962738
51,1767,0.058656446635723114,,,
52,1801,,0.04972260817885399,0.8099443912506104,0.7215822339057922
52,1801,0.05832689255475998,,,
53,1835,,0.04994798079133034,0.8086218237876892,0.7226906418800354
53,1835,0.061733659356832504,,,
54,1869,,0.059538334608078,0.7789315581321716,0.7376089692115784
54,1869,0.06687095016241074,,,
55,1903,,0.04904163256287575,0.8127392530441284,0.7259554266929626
55,1903,0.05815716087818146,,,
56,1937,,0.0488896518945694,0.8130428791046143,0.7207509279251099
56,1937,0.055027421563863754,,,
57,1971,,0.0503305047750473,0.815883219242096,0.7140399217605591
57,1971,0.05555726960301399,,,
58,2005,,0.04801676422357559,0.8203465342521667,0.7349336743354797
58,2005,0.06574975699186325,,,
59,2039,,0.05396708473563194,0.8191067576408386,0.7242424488067627
59,2039,0.06103598326444626,,,
60,2073,,0.046069543808698654,0.8245253562927246,0.7348631024360657
60,2073,0.049046456813812256,,,
61,2107,,0.04597754776477814,0.8246880173683167,0.7365509271621704
61,2107,0.060971759259700775,,,
62,2141,,0.0475212000310421,0.8222300410270691,0.736752450466156
62,2141,0.054950423538684845,,,
63,2175,,0.04780364781618118,0.8180847764015198,0.7174205780029297
63,2175,0.05052873492240906,,,
64,2209,,0.04818221181631088,0.8228040933609009,0.7365157008171082
64,2209,0.057086281478405,,,
65,2243,,0.049049898982048035,0.8151492476463318,0.7485974431037903
65,2243,0.06906691193580627,,,
66,2277,,0.055167678743600845,0.8043666481971741,0.7304496169090271
66,2277,0.054118990898132324,,,
67,2311,,0.04940314218401909,0.8124629855155945,0.741387665271759
67,2311,0.05916950851678848,,,
68,2345,,0.04695460945367813,0.8242139220237732,0.7402490377426147
68,2345,0.053474001586437225,,,
69,2379,,0.0463513620197773,0.8252056837081909,0.7412919402122498
69,2379,0.05477222427725792,,,
70,2413,,0.04730036482214928,0.8199962377548218,0.745710551738739
70,2413,0.06877381354570389,,,
71,2447,,0.046255335211753845,0.8271620869636536,0.7398661375045776
71,2447,0.050641268491744995,,,
72,2481,,0.04618220031261444,0.8267129063606262,0.7422593235969543
72,2481,0.04708343744277954,,,
73,2515,,0.0492619127035141,0.8132838010787964,0.7440831661224365
73,2515,0.05722717568278313,,,
74,2549,,0.04819148778915405,0.8164166808128357,0.7437355518341064
74,2549,0.04909742996096611,,,
75,2583,,0.04734548181295395,0.8193832039833069,0.7434584498405457
75,2583,0.05203194543719292,,,
76,2617,,0.046227455139160156,0.8237898349761963,0.7418310642242432
76,2617,0.044021934270858765,,,
77,2651,,0.04557889327406883,0.8268757462501526,0.7398661375045776
77,2651,0.047131624072790146,,,
78,2685,,0.04543142393231392,0.8275871872901917,0.7394530177116394
78,2685,0.047307226806879044,,,
79,2719,,0.045407768338918686,0.8282236456871033,0.7404606342315674
79,2719,0.05206075310707092,,,
80,2753,,0.0459052175283432,0.8253447413444519,0.7440932393074036
80,2753,0.05372818931937218,,,
81,2787,,0.04573115333914757,0.8261963725090027,0.7434180974960327
81,2787,0.04578327760100365,,,
82,2821,,0.045585066080093384,0.8276887536048889,0.7425918579101562
82,2821,0.04288780316710472,,,
83,2855,,0.045882340520620346,0.8255640268325806,0.7438312768936157
83,2855,0.056035250425338745,,,
84,2889,,0.04569272696971893,0.826560914516449,0.7434382438659668
84,2889,0.056319087743759155,,,
85,2923,,0.045806754380464554,0.8261145353317261,0.7451059222221375
85,2923,0.06116865575313568,,,
86,2957,,0.04576665163040161,0.8262673020362854,0.7440025806427002
86,2957,0.05119059607386589,,,
87,2991,,0.0457887165248394,0.8261375427246094,0.7440025806427002
87,2991,0.050639085471630096,,,
88,3025,,0.04578324034810066,0.8262628316879272,0.7441033124923706
88,3025,0.049985650926828384,,,
89,3059,,0.045762524008750916,0.8264225125312805,0.7442343235015869
89,3059,0.05650363117456436,,,
90,3093,,0.04564081132411957,0.827354371547699,0.7431662082672119
90,3093,0.058888029307127,,,
91,3127,,0.04564867913722992,0.8275789022445679,0.7419520020484924
91,3127,0.054978638887405396,,,
92,3161,,0.04564358666539192,0.8276090025901794,0.7419520020484924
92,3161,0.043573394417762756,,,
93,3195,,0.04563651978969574,0.8276619911193848,0.7418411374092102
93,3195,0.048677798360586166,,,
94,3229,,0.04563000425696373,0.8276662826538086,0.7418411374092102
94,3229,0.05010998621582985,,,
