epoch,step,train_mse,val_loss,val_pearson_corr,val_spearman_corr
170,5813,,0.04655538871884346,0.8195444345474243,0.742859423160553
170,5813,0.045666247606277466,,,
171,5847,,0.04617777839303017,0.8186573386192322,0.74053955078125
171,5847,0.03850821033120155,,,
172,5881,,0.04616831988096237,0.820511519908905,0.7418463826179504
172,5881,0.04672534018754959,,,
173,5915,,0.04569021612405777,0.8204057812690735,0.7432528734207153
173,5915,0.03888119384646416,,,
174,5949,,0.04603692516684532,0.8212689161300659,0.7418630123138428
174,5949,0.04423567280173302,,,
175,5983,,0.04582136496901512,0.8200452923774719,0.7428919672966003
175,5983,0.042000241577625275,,,
176,6017,,0.04555918648838997,0.821556568145752,0.74357670545578
176,6017,0.04591676592826843,,,
177,6051,,0.04591117426753044,0.821109414100647,0.7435026168823242
177,6051,0.04342731460928917,,,
178,6052,,0.04555918648838997,0.821556568145752,0.74357670545578
