epoch,step,train_mse,val_loss,val_pearson_corr,val_spearman_corr
0,33,,0.14996574819087982,0.13809522986412048,0.09778290241956711
0,33,0.1479262411594391,,,
1,67,,0.155396968126297,0.3201797604560852,0.3123883605003357
1,67,0.13790735602378845,,,
2,101,,0.14456693828105927,-0.3917829692363739,-0.36948904395103455
2,101,0.1481509804725647,,,
3,135,,0.14550812542438507,0.49968963861465454,0.49263277649879456
3,135,0.14985570311546326,,,
4,169,,0.14652718603610992,0.6183207035064697,0.5604681372642517
4,169,0.14252863824367523,,,
5,203,,0.14456722140312195,0.6004304885864258,0.5287219882011414
5,203,0.14352333545684814,,,
6,237,,0.15119700133800507,0.5453725457191467,0.5233108401298523
6,237,0.1405491977930069,,,
7,271,,0.167542964220047,0.5969060063362122,0.56132972240448
7,271,0.1411144882440567,,,
8,305,,0.13007201254367828,0.4461764097213745,0.5853270292282104
8,305,0.15501339733600616,,,
9,339,,0.1604151874780655,0.6544178128242493,0.6149067282676697
9,339,0.1354449987411499,,,
10,373,,0.13637709617614746,0.6831055283546448,0.604754626750946
10,373,0.14397819340229034,,,
11,407,,0.07821686565876007,0.6817830204963684,0.5870702862739563
11,407,0.1323496401309967,,,
12,441,,0.1191391870379448,0.7137449383735657,0.6088104248046875
12,441,0.1284382939338684,,,
13,475,,0.0853341668844223,0.7193867564201355,0.6076617240905762
13,475,0.11730115860700607,,,
14,509,,0.07316438853740692,0.7494344115257263,0.6132340431213379
14,509,0.0921509861946106,,,
15,543,,0.06703837960958481,0.7377011775970459,0.6216479539871216
15,543,0.09645655751228333,,,
16,577,,0.07627402245998383,0.7199114561080933,0.6222525835037231
16,577,0.08958746492862701,,,
17,611,,0.07313910126686096,0.7265616655349731,0.6185141801834106
17,611,0.09908564388751984,,,
18,645,,0.06626226007938385,0.7482517957687378,0.622504472732544
18,645,0.06364602595567703,,,
19,679,,0.07255265861749649,0.7573089599609375,0.6322434544563293
19,679,0.09329935908317566,,,
20,713,,0.09296278655529022,0.7200872302055359,0.620343029499054
20,713,0.07940217852592468,,,
21,747,,0.06959895044565201,0.746601939201355,0.6209577322006226
21,747,0.10414665937423706,,,
22,781,,0.06432582437992096,0.7486263513565063,0.6208519339561462
22,781,0.08146461844444275,,,
23,815,,0.07651243358850479,0.7486802339553833,0.6368786692619324
23,815,0.08167770504951477,,,
24,849,,0.06151360273361206,0.7655424475669861,0.6407380104064941
24,849,0.08140580356121063,,,
25,883,,0.07064228504896164,0.7601811289787292,0.6383750438690186
25,883,0.0833093523979187,,,
26,917,,0.07470186799764633,0.733590841293335,0.6394784450531006
26,917,0.0681564211845398,,,
27,951,,0.07114636152982712,0.7395718097686768,0.639569103717804
27,951,0.08344355970621109,,,
28,985,,0.06323914229869843,0.7613818645477295,0.6446678638458252
28,985,0.08186604082584381,,,
29,1019,,0.06742525845766068,0.760837733745575,0.6503661274909973
29,1019,0.07159409672021866,,,
30,1053,,0.06983664631843567,0.7449657320976257,0.6372112035751343
30,1053,0.07961016148328781,,,
31,1087,,0.06090857461094856,0.7634453177452087,0.6477512717247009
31,1087,0.06579967588186264,,,
32,1121,,0.07389654964208603,0.7269001603126526,0.638148307800293
32,1121,0.07354937493801117,,,
33,1155,,0.07068829238414764,0.7426061034202576,0.6473180055618286
33,1155,0.07295287400484085,,,
34,1189,,0.0676620602607727,0.7649363279342651,0.6612589359283447
34,1189,0.07942525297403336,,,
35,1223,,0.08179959654808044,0.7436410784721375,0.6676121950149536
35,1223,0.06981819123029709,,,
36,1257,,0.05979691073298454,0.7693211436271667,0.6622866988182068
36,1257,0.06501543521881104,,,
37,1291,,0.06679614633321762,0.7756333351135254,0.6796083450317383
37,1291,0.06710382550954819,,,
38,1325,,0.05969628691673279,0.7731726765632629,0.6797544360160828
38,1325,0.07373705506324768,,,
39,1359,,0.0677357017993927,0.7522880434989929,0.6694310307502747
39,1359,0.06444919854402542,,,
40,1393,,0.055495087057352066,0.7903845906257629,0.6864049434661865
40,1393,0.08338381350040436,,,
41,1427,,0.05598121136426926,0.7812570333480835,0.672348141670227
41,1427,0.06537516415119171,,,
42,1461,,0.0761227011680603,0.736653208732605,0.6594854593276978
42,1461,0.07239344716072083,,,
43,1495,,0.06205045431852341,0.7579557299613953,0.6601605415344238
43,1495,0.05968479439616203,,,
44,1529,,0.05924726277589798,0.7734408974647522,0.6608004570007324
44,1529,0.06582829356193542,,,
45,1563,,0.06043904274702072,0.764026403427124,0.6585080027580261
45,1563,0.07207666337490082,,,
46,1597,,0.06982727348804474,0.7372359037399292,0.6511017680168152
46,1597,0.06324790418148041,,,
47,1631,,0.06207411736249924,0.7556229829788208,0.6556916236877441
47,1631,0.05527491122484207,,,
48,1665,,0.0652085691690445,0.7605350017547607,0.659581184387207
48,1665,0.06678743660449982,,,
49,1699,,0.06506413966417313,0.7660608291625977,0.6564120650291443
49,1699,0.07926252484321594,,,
50,1733,,0.06505278497934341,0.7646659016609192,0.6676323413848877
50,1733,0.06127886101603508,,,
51,1767,,0.06811890006065369,0.7372025847434998,0.6632994413375854
51,1767,0.06808403879404068,,,
52,1801,,0.07021158933639526,0.7466764450073242,0.6697685718536377
52,1801,0.05819488316774368,,,
53,1835,,0.0683249682188034,0.7773414254188538,0.6721365451812744
53,1835,0.07006298750638962,,,
54,1869,,0.06653545796871185,0.7375084161758423,0.6480132937431335
54,1869,0.06847801059484482,,,
55,1903,,0.07234525680541992,0.7277044653892517,0.671985387802124
55,1903,0.062135130167007446,,,
56,1937,,0.0778476670384407,0.7705992460250854,0.6733860373497009
56,1937,0.09892450273036957,,,
57,1971,,0.05927574262022972,0.7667171955108643,0.6718645095825195
57,1971,0.059875600039958954,,,
58,2005,,0.09342999756336212,0.7449705600738525,0.6811752319335938
58,2005,0.08383604139089584,,,
59,2039,,0.06088002771139145,0.767192542552948,0.6752200126647949
59,2039,0.0879506841301918,,,
60,2073,,0.06212269142270088,0.7688443660736084,0.6776030659675598
60,2073,0.05557231977581978,,,
61,2107,,0.06055945158004761,0.7802513837814331,0.677729070186615
61,2107,0.07923528552055359,,,
62,2141,,0.05686009302735329,0.7785724401473999,0.6739100217819214
62,2141,0.055749066174030304,,,
63,2175,,0.0563715435564518,0.7799947261810303,0.6749479174613953
63,2175,0.05705336481332779,,,
64,2209,,0.05698345601558685,0.7770608067512512,0.6692798733711243
64,2209,0.05907616764307022,,,
65,2243,,0.056549735367298126,0.7790669202804565,0.6724337935447693
65,2243,0.0663081705570221,,,
66,2277,,0.05644791200757027,0.7791649103164673,0.675552487373352
66,2277,0.05651788413524628,,,
67,2311,,0.05761684477329254,0.7798200249671936,0.6803439259529114
67,2311,0.0643872395157814,,,
68,2345,,0.05715477094054222,0.7771809101104736,0.6870599389076233
68,2345,0.06450226902961731,,,
69,2379,,0.05716591328382492,0.7772931456565857,0.6857197284698486
69,2379,0.06168138235807419,,,
70,2413,,0.060736026614904404,0.7715300917625427,0.6858205199241638
70,2413,0.0556243397295475,,,
71,2447,,0.05641672760248184,0.779299259185791,0.684792697429657
71,2447,0.051316484808921814,,,
72,2481,,0.05729883164167404,0.7788324356079102,0.6810039281845093
72,2481,0.046124815940856934,,,
73,2515,,0.05811767652630806,0.7717068195343018,0.6818805932998657
73,2515,0.06938303261995316,,,
74,2549,,0.060442473739385605,0.7791874408721924,0.6810240745544434
74,2549,0.061009373515844345,,,
75,2583,,0.05667177215218544,0.7815381288528442,0.6845710277557373
75,2583,0.05565677210688591,,,
76,2617,,0.05865562707185745,0.7844365239143372,0.6887426972389221
76,2617,0.06571900099515915,,,
77,2651,,0.05537954345345497,0.7840244770050049,0.6864200830459595
77,2651,0.051744360476732254,,,
78,2685,,0.05586770921945572,0.7820891737937927,0.6907026171684265
78,2685,0.051586490124464035,,,
79,2719,,0.058098286390304565,0.7817095518112183,0.6875788569450378
79,2719,0.05826631933450699,,,
80,2753,,0.06341420114040375,0.7701026201248169,0.6951513886451721
80,2753,0.057995133101940155,,,
81,2787,,0.05639010667800903,0.7796619534492493,0.6906723976135254
81,2787,0.07180044800043106,,,
82,2821,,0.06798499822616577,0.751021146774292,0.6836994290351868
82,2821,0.057486698031425476,,,
83,2855,,0.055585842579603195,0.7845469117164612,0.6827622652053833
83,2855,0.05471094697713852,,,
84,2889,,0.057735852897167206,0.7860482335090637,0.694405734539032
84,2889,0.04366849362850189,,,
85,2923,,0.054701581597328186,0.787680447101593,0.6908688545227051
85,2923,0.056394606828689575,,,
86,2957,,0.05460638925433159,0.7903643250465393,0.6915943622589111
86,2957,0.05381172522902489,,,
87,2991,,0.05950351431965828,0.7756510376930237,0.7021596431732178
87,2991,0.057128746062517166,,,
88,3025,,0.0587007999420166,0.7834162712097168,0.715838611125946
88,3025,0.05876074358820915,,,
89,3059,,0.05388380587100983,0.7928057909011841,0.6963605880737305
89,3059,0.04749450087547302,,,
90,3093,,0.053650882095098495,0.7982085347175598,0.7056260108947754
90,3093,0.059285957366228104,,,
91,3127,,0.05639197677373886,0.792039155960083,0.7122664451599121
91,3127,0.06818296760320663,,,
92,3161,,0.052838779985904694,0.7969294786453247,0.7068301439285278
92,3161,0.06368160992860794,,,
93,3195,,0.05268051102757454,0.7995423078536987,0.7123923897743225
93,3195,0.0605493001639843,,,
94,3229,,0.06120289862155914,0.7791804075241089,0.6939623951911926
94,3229,0.04476242512464523,,,
95,3263,,0.05171141400933266,0.8016579151153564,0.7115257978439331
95,3263,0.05228583142161369,,,
96,3297,,0.05286559462547302,0.7979791164398193,0.7074750661849976
96,3297,0.046956706792116165,,,
97,3331,,0.05997179076075554,0.7802503108978271,0.7116064429283142
97,3331,0.054932091385126114,,,
98,3365,,0.05345747247338295,0.7934771776199341,0.722564697265625
98,3365,0.05821940675377846,,,
99,3399,,0.050659313797950745,0.8045992255210876,0.7197986841201782
99,3399,0.04936232790350914,,,
100,3433,,0.05074774846434593,0.8066067099571228,0.7286710739135742
100,3433,0.04880526289343834,,,
101,3467,,0.04970129206776619,0.8090401291847229,0.7223681807518005
101,3467,0.053845591843128204,,,
102,3501,,0.05113430321216583,0.8049072623252869,0.7233707904815674
102,3501,0.05363692343235016,,,
103,3535,,0.05499492958188057,0.7895324230194092,0.7258647680282593
103,3535,0.04963500052690506,,,
104,3569,,0.05416488274931908,0.7946258783340454,0.7393572926521301
104,3569,0.04465518891811371,,,
105,3603,,0.06009290739893913,0.7836205363273621,0.7302984595298767
105,3603,0.052130743861198425,,,
106,3637,,0.05174214765429497,0.8098000884056091,0.7393774390220642
106,3637,0.05459511652588844,,,
107,3671,,0.05018559470772743,0.8073151707649231,0.7219953536987305
107,3671,0.053009290248155594,,,
108,3705,,0.051014870405197144,0.8050565123558044,0.7372109889984131
108,3705,0.05231533944606781,,,
109,3739,,0.047929853200912476,0.81857830286026,0.7534342408180237
109,3739,0.05332823470234871,,,
110,3773,,0.04842402786016464,0.8310756683349609,0.7484513521194458
110,3773,0.06528012454509735,,,
111,3807,,0.05885574221611023,0.7846097350120544,0.7337546944618225
111,3807,0.04597073048353195,,,
112,3841,,0.054134637117385864,0.7987197637557983,0.7325606346130371
112,3841,0.049119461327791214,,,
113,3875,,0.062155622988939285,0.7800275683403015,0.7309383153915405
113,3875,0.05259239673614502,,,
114,3909,,0.049510397017002106,0.8124919533729553,0.7355533838272095
114,3909,0.04360665753483772,,,
115,3943,,0.05851414054632187,0.7838994264602661,0.7280513644218445
115,3943,0.05704456567764282,,,
116,3977,,0.05002964287996292,0.812516987323761,0.6968694925308228
116,3977,0.04958542063832283,,,
117,4011,,0.055701855570077896,0.7898674011230469,0.7092182636260986
117,4011,0.045768480747938156,,,
118,4045,,0.050097860395908356,0.8085377216339111,0.7191487550735474
118,4045,0.050594180822372437,,,
119,4079,,0.061643123626708984,0.7696101665496826,0.7276483178138733
119,4079,0.05203358456492424,,,
120,4113,,0.04760441556572914,0.8185790777206421,0.7309987545013428
120,4113,0.048482026904821396,,,
121,4147,,0.07421625405550003,0.7612956762313843,0.728242814540863
121,4147,0.047084514051675797,,,
122,4181,,0.05342105031013489,0.796075165271759,0.7366265058517456
122,4181,0.05409082770347595,,,
123,4215,,0.06485825031995773,0.7503581643104553,0.7293411493301392
123,4215,0.05426144227385521,,,
124,4249,,0.0514233261346817,0.8058064579963684,0.6839613914489746
124,4249,0.043694376945495605,,,
125,4283,,0.04868543520569801,0.8247800469398499,0.731462299823761
125,4283,0.047908633947372437,,,
126,4317,,0.05718415230512619,0.7830467224121094,0.7399618625640869
126,4317,0.05447164177894592,,,
127,4351,,0.05405031144618988,0.7914083003997803,0.738571286201477
127,4351,0.04160614684224129,,,
128,4385,,0.053591061383485794,0.8041999936103821,0.7380322217941284
128,4385,0.04386841878294945,,,
129,4419,,0.047988176345825195,0.8228955864906311,0.734958827495575
129,4419,0.054369546473026276,,,
130,4453,,0.05724158510565758,0.786355197429657,0.743513822555542
130,4453,0.043476056307554245,,,
131,4487,,0.04994550719857216,0.8147914409637451,0.704079270362854
131,4487,0.05138808861374855,,,
132,4521,,0.04639478400349617,0.8237648010253906,0.7276533246040344
132,4521,0.045734506100416183,,,
133,4555,,0.04686269536614418,0.8261688947677612,0.7452671527862549
133,4555,0.05245742201805115,,,
134,4589,,0.05601000413298607,0.7873328924179077,0.7392010688781738
134,4589,0.0513138622045517,,,
135,4623,,0.054580073803663254,0.7978699207305908,0.7376744747161865
135,4623,0.046617623418569565,,,
136,4657,,0.05006426200270653,0.8082185387611389,0.739311933517456
136,4657,0.04701376333832741,,,
137,4691,,0.056029606610536575,0.787304699420929,0.741428017616272
137,4691,0.048626095056533813,,,
138,4725,,0.05284879356622696,0.8010258674621582,0.744632363319397
138,4725,0.039393503218889236,,,
139,4759,,0.047193996608257294,0.8198802471160889,0.7414884567260742
139,4759,0.0442928671836853,,,
140,4793,,0.051813848316669464,0.8051387071609497,0.7516657710075378
140,4793,0.04688107222318649,,,
141,4827,,0.054987579584121704,0.7890649437904358,0.7383949756622314
141,4827,0.03820781782269478,,,
142,4861,,0.04355495795607567,0.8354884386062622,0.745312511920929
142,4861,0.05135020613670349,,,
143,4895,,0.0586528517305851,0.7778921723365784,0.7418259978294373
143,4895,0.04110096022486687,,,
144,4929,,0.05984421446919441,0.776545524597168,0.743539035320282
144,4929,0.054502952843904495,,,
145,4963,,0.051032084971666336,0.8081464171409607,0.7517262697219849
145,4963,0.05140465870499611,,,
146,4997,,0.04612569138407707,0.8243000507354736,0.7489804029464722
146,4997,0.04255989193916321,,,
147,5031,,0.046682316809892654,0.8231322169303894,0.7601502537727356
147,5031,0.04101413115859032,,,
148,5065,,0.04544103518128395,0.8302010893821716,0.756003737449646
148,5065,0.041669074445962906,,,
149,5099,,0.041790470480918884,0.8428789377212524,0.7533385157585144
149,5099,0.03476198762655258,,,
150,5133,,0.04455198347568512,0.8346421122550964,0.7627197504043579
150,5133,0.04379119351506233,,,
151,5167,,0.06160333752632141,0.7774257659912109,0.7488745450973511
151,5167,0.040309324860572815,,,
152,5201,,0.05634152144193649,0.8039819598197937,0.753842294216156
152,5201,0.03881799802184105,,,
153,5235,,0.0421026237308979,0.8421451449394226,0.7565831542015076
153,5235,0.052031971514225006,,,
154,5269,,0.058905571699142456,0.7993384003639221,0.7458868622779846
154,5269,0.04363277181982994,,,
155,5303,,0.045562535524368286,0.826911449432373,0.7465317845344543
155,5303,0.043826889246702194,,,
156,5337,,0.043701883405447006,0.8349916934967041,0.7380725145339966
156,5337,0.0576167069375515,,,
157,5371,,0.04477577656507492,0.830169677734375,0.7486226558685303
157,5371,0.041009753942489624,,,
158,5405,,0.0438813790678978,0.8388193845748901,0.7587496042251587
158,5405,0.05050302669405937,,,
159,5439,,0.0459098145365715,0.8452178239822388,0.7664229273796082
159,5439,0.04595028609037399,,,
160,5473,,0.04321971908211708,0.8385273814201355,0.7625837326049805
160,5473,0.04864015430212021,,,
161,5507,,0.04212666302919388,0.8442491292953491,0.7740004658699036
161,5507,0.05004800111055374,,,
162,5541,,0.04019978642463684,0.8498498201370239,0.7690478563308716
162,5541,0.029538024216890335,,,
163,5575,,0.03901888430118561,0.8540294170379639,0.7600595355033875
163,5575,0.04439808055758476,,,
164,5609,,0.04006825014948845,0.8511221408843994,0.7665035128593445
164,5609,0.045032791793346405,,,
165,5643,,0.04291612282395363,0.8400706648826599,0.7696977853775024
165,5643,0.03764607012271881,,,
166,5677,,0.0472162663936615,0.8300958871841431,0.7653749585151672
166,5677,0.04821685701608658,,,
167,5711,,0.041703563183546066,0.8427368998527527,0.7591022849082947
167,5711,0.03975997120141983,,,
168,5745,,0.04157987982034683,0.8435076475143433,0.7657276391983032
168,5745,0.04247083514928818,,,
169,5779,,0.04261951148509979,0.84161376953125,0.7671484351158142
169,5779,0.04730062186717987,,,
170,5813,,0.041375141590833664,0.853425145149231,0.7763835787773132
170,5813,0.046717699617147446,,,
171,5847,,0.04053320363163948,0.8475126028060913,0.7710177898406982
171,5847,0.041280195116996765,,,
172,5881,,0.0499880388379097,0.8301583528518677,0.7562656998634338
172,5881,0.04308411106467247,,,
173,5915,,0.03881018981337547,0.8543533086776733,0.7734512686729431
173,5915,0.04306865110993385,,,
174,5949,,0.046622999012470245,0.8462162613868713,0.7689168453216553
174,5949,0.053538620471954346,,,
175,5983,,0.04315211623907089,0.8418490290641785,0.7528901100158691
175,5983,0.04116056114435196,,,
176,6017,,0.05600309744477272,0.8114275336265564,0.7687354683876038
176,6017,0.04705490544438362,,,
177,6051,,0.04755142331123352,0.8312094211578369,0.7468643188476562
177,6051,0.04722655192017555,,,
178,6085,,0.046078622341156006,0.8297721743583679,0.7584875822067261
178,6085,0.04612083360552788,,,
179,6119,,0.050788506865501404,0.8143377304077148,0.7469197511672974
179,6119,0.036167241632938385,,,
180,6153,,0.04342690482735634,0.8353160619735718,0.7470909953117371
180,6153,0.04307486116886139,,,
181,6187,,0.04452378675341606,0.8330737948417664,0.7412970066070557
181,6187,0.04086229205131531,,,
182,6221,,0.04141401872038841,0.8436794877052307,0.754608154296875
182,6221,0.03737890347838402,,,
183,6255,,0.04446401819586754,0.8369520306587219,0.7585883736610413
183,6255,0.04608333110809326,,,
184,6289,,0.044995587319135666,0.838253915309906,0.7628054022789001
184,6289,0.048062123358249664,,,
185,6323,,0.04719819501042366,0.8266602158546448,0.758467435836792
185,6323,0.038932546973228455,,,
186,6357,,0.03891352564096451,0.8541154861450195,0.7667503952980042
186,6357,0.042785387486219406,,,
187,6391,,0.0425373911857605,0.8460949063301086,0.756734311580658
187,6391,0.05277632549405098,,,
188,6425,,0.04203050211071968,0.8444885611534119,0.7537415623664856
188,6425,0.046314090490341187,,,
189,6459,,0.042450495064258575,0.8412542343139648,0.7450001239776611
189,6459,0.04174540936946869,,,
190,6493,,0.04636545479297638,0.8421135544776917,0.7682971358299255
190,6493,0.04597850516438484,,,
191,6527,,0.041080325841903687,0.8511477112770081,0.7528497576713562
191,6527,0.04323725774884224,,,
192,6561,,0.03986077755689621,0.8503935933113098,0.752799391746521
192,6561,0.038759563118219376,,,
193,6595,,0.04057556390762329,0.8507996797561646,0.7554545402526855
193,6595,0.03869843855500221,,,
194,6629,,0.045060012489557266,0.8362764716148376,0.7587596774101257
194,6629,0.0515047088265419,,,
195,6663,,0.04217108339071274,0.8457383513450623,0.7608556151390076
195,6663,0.0400816984474659,,,
196,6697,,0.041919857263565063,0.8438003063201904,0.7611528635025024
196,6697,0.04090530797839165,,,
197,6731,,0.04074648767709732,0.8478560447692871,0.7622562646865845
197,6731,0.04088790714740753,,,
198,6765,,0.040636904537677765,0.8479852080345154,0.759585976600647
198,6765,0.0460110679268837,,,
199,6799,,0.04219536483287811,0.843532383441925,0.7641002535820007
199,6799,0.04069286212325096,,,
200,6833,,0.040286481380462646,0.8489130139350891,0.7612535953521729
200,6833,0.04531458392739296,,,
201,6867,,0.04141499847173691,0.8462209105491638,0.7632437348365784
201,6867,0.03714151680469513,,,
202,6901,,0.04135168343782425,0.8442462086677551,0.7541345357894897
202,6901,0.04039161652326584,,,
203,6935,,0.04066036269068718,0.8467821478843689,0.7600494623184204
203,6935,0.03586175665259361,,,
204,6969,,0.04041825607419014,0.8490868806838989,0.7632991671562195
204,6969,0.05351533368229866,,,
205,7003,,0.04079433158040047,0.847629964351654,0.7620396018028259
205,7003,0.04435856640338898,,,
206,7037,,0.040570586919784546,0.8501860499382019,0.763445258140564
206,7037,0.044800907373428345,,,
207,7071,,0.041328683495521545,0.8506237268447876,0.7658838033676147
207,7071,0.05096617341041565,,,
208,7105,,0.04149686172604561,0.8468014597892761,0.7611528635025024
208,7105,0.03787645325064659,,,
209,7139,,0.04051828756928444,0.8518102169036865,0.7651733756065369
209,7139,0.04691877216100693,,,
210,7173,,0.039647527039051056,0.852990448474884,0.7632840275764465
210,7173,0.040564827620983124,,,
211,7207,,0.041516926139593124,0.8469908833503723,0.7672894597053528
211,7207,0.04686766490340233,,,
212,7241,,0.03988909721374512,0.8503178358078003,0.7618582248687744
212,7241,0.04260944575071335,,,
213,7275,,0.040467437356710434,0.8485987782478333,0.760261058807373
213,7275,0.03654543310403824,,,
214,7276,,0.03881018981337547,0.8543533086776733,0.7734512686729431
