epoch,step,train_mse,val_loss,val_pearson_corr,val_spearman_corr
0,33,,0.13972431421279907,0.25915494561195374,0.2509479522705078
0,33,0.14268073439598083,,,
1,67,,0.13980905711650848,-0.22022831439971924,-0.2489340454339981
1,67,0.1460653692483902,,,
2,101,,0.14238812029361725,0.31066977977752686,0.29576295614242554
2,101,0.14971591532230377,,,
3,135,,0.11482066661119461,0.5713099837303162,0.4892794191837311
3,135,0.14316946268081665,,,
4,169,,0.13973191380500793,0.1384703665971756,0.13721629977226257
4,169,0.14760860800743103,,,
5,203,,0.13954511284828186,0.256570041179657,0.19998498260974884
5,203,0.14210981130599976,,,
6,237,,0.13969840109348297,0.2639780640602112,0.1742568463087082
6,237,0.14503635466098785,,,
7,271,,0.14000529050827026,0.2626636326313019,0.22227267920970917
7,271,0.14427386224269867,,,
8,305,,0.13867995142936707,0.18799160420894623,0.11565662920475006
8,305,0.15015007555484772,,,
9,339,,0.14048996567726135,0.4931366741657257,0.49859464168548584
9,339,0.1476176232099533,,,
10,373,,0.1397562325000763,0.47726306319236755,0.4527741074562073
10,373,0.1442287415266037,,,
11,407,,0.139286071062088,0.4258333742618561,0.44730865955352783
11,407,0.14522698521614075,,,
12,441,,0.13518185913562775,0.46937036514282227,0.4489577114582062
12,441,0.13917171955108643,,,
13,475,,0.151583731174469,0.363391250371933,0.46395379304885864
13,475,0.1286669820547104,,,
14,509,,0.10583369433879852,0.5698277950286865,0.4789530634880066
14,509,0.13647966086864471,,,
15,543,,0.08785993605852127,0.6092053055763245,0.5297001004219055
15,543,0.1054430827498436,,,
16,577,,0.08816415071487427,0.6181697249412537,0.5259226560592651
16,577,0.09658414125442505,,,
17,611,,0.0939684510231018,0.5913310647010803,0.5063245296478271
17,611,0.09314798563718796,,,
18,645,,0.08449555933475494,0.636456310749054,0.5411193370819092
18,645,0.09659363329410553,,,
19,679,,0.10755685716867447,0.5857205986976624,0.5546833872795105
19,679,0.08433972299098969,,,
20,713,,0.08046663552522659,0.6558268666267395,0.5589117407798767
20,713,0.09440865367650986,,,
21,747,,0.08659710735082626,0.6400842666625977,0.5653693079948425
21,747,0.08770258724689484,,,
22,781,,0.08919446170330048,0.6246416568756104,0.5562769770622253
22,781,0.0906023308634758,,,
23,815,,0.07990196347236633,0.6546918153762817,0.5606842041015625
23,815,0.08367354422807693,,,
24,849,,0.07922212034463882,0.6652320027351379,0.5771641135215759
24,849,0.0833614245057106,,,
25,883,,0.08075376600027084,0.6714066863059998,0.5938125848770142
25,883,0.09381924569606781,,,
26,917,,0.08200115710496902,0.6663998365402222,0.5919896364212036
26,917,0.08397829532623291,,,
27,951,,0.081697478890419,0.6683470606803894,0.5778788328170776
27,951,0.10008310526609421,,,
28,985,,0.0790778249502182,0.6589521765708923,0.5732448697090149
28,985,0.07870134711265564,,,
29,1019,,0.07613804191350937,0.6854960918426514,0.6062652468681335
29,1019,0.07051796466112137,,,
30,1053,,0.07411595433950424,0.6926309466362,0.6011713743209839
30,1053,0.076716847717762,,,
31,1087,,0.0791277289390564,0.6971015334129333,0.6200240850448608
31,1087,0.07933607697486877,,,
32,1121,,0.07263043522834778,0.6944548487663269,0.6230491399765015
32,1121,0.07705436646938324,,,
33,1155,,0.07496307790279388,0.6856696009635925,0.6126109957695007
33,1155,0.07185069471597672,,,
34,1189,,0.07871691882610321,0.6920592784881592,0.6402309536933899
34,1189,0.07048933953046799,,,
35,1223,,0.07184969633817673,0.7058713436126709,0.6296133399009705
35,1223,0.07969292998313904,,,
36,1257,,0.07075381278991699,0.7051060199737549,0.6389093995094299
36,1257,0.07551400363445282,,,
37,1291,,0.07268161326646805,0.7094200849533081,0.6417275071144104
37,1291,0.0740172490477562,,,
38,1325,,0.07018908858299255,0.7074205279350281,0.6430228352546692
38,1325,0.06601546704769135,,,
39,1359,,0.06964068114757538,0.7102250456809998,0.6429346799850464
39,1359,0.06248476356267929,,,
40,1393,,0.0701456069946289,0.7158606052398682,0.6488901972770691
40,1393,0.0653095468878746,,,
41,1427,,0.07264497876167297,0.7130998373031616,0.6614239811897278
41,1427,0.07420071214437485,,,
42,1461,,0.06930524110794067,0.7155349254608154,0.6501625180244446
42,1461,0.06779428571462631,,,
43,1495,,0.07428335398435593,0.733299970626831,0.658069372177124
43,1495,0.06704644113779068,,,
44,1529,,0.07841787487268448,0.6923753619194031,0.6487969160079956
44,1529,0.06734349578619003,,,
45,1563,,0.06639426946640015,0.7296645641326904,0.6574426889419556
45,1563,0.06493081152439117,,,
46,1597,,0.06594359874725342,0.7342144250869751,0.6597204804420471
46,1597,0.06849166750907898,,,
47,1631,,0.06709424406290054,0.7222573757171631,0.6578304767608643
47,1631,0.06659819185733795,,,
48,1665,,0.06477651000022888,0.7335132956504822,0.6673597097396851
48,1665,0.06935839354991913,,,
49,1699,,0.06341905146837234,0.74061119556427,0.6700991988182068
49,1699,0.07514443248510361,,,
50,1733,,0.06389518827199936,0.7411426901817322,0.6693525314331055
50,1733,0.06834439933300018,,,
51,1767,,0.07200935482978821,0.7140237092971802,0.6632845997810364
51,1767,0.06755506992340088,,,
52,1801,,0.08563358336687088,0.6862582564353943,0.649139940738678
52,1801,0.06785076856613159,,,
53,1835,,0.06426174938678741,0.7373620867729187,0.6670626997947693
53,1835,0.06118278577923775,,,
54,1869,,0.06467683613300323,0.7380302548408508,0.6683995127677917
54,1869,0.06177111342549324,,,
55,1903,,0.06338823586702347,0.7461798787117004,0.6824126243591309
55,1903,0.058538634330034256,,,
56,1937,,0.06376782059669495,0.739707350730896,0.6830085515975952
56,1937,0.0654362216591835,,,
57,1971,,0.06353901326656342,0.7495006918907166,0.6841927766799927
57,1971,0.0641741007566452,,,
58,2005,,0.06155385449528694,0.7521728873252869,0.6792515516281128
58,2005,0.055142972618341446,,,
59,2039,,0.0636177510023117,0.7386209964752197,0.6685924530029297
59,2039,0.061031438410282135,,,
60,2073,,0.06244369596242905,0.7488385438919067,0.6889104247093201
60,2073,0.05686210095882416,,,
61,2107,,0.08154413849115372,0.7001001238822937,0.6658305525779724
61,2107,0.06415458023548126,,,
62,2141,,0.05949835851788521,0.7579379677772522,0.6874317526817322
62,2141,0.0595703125,,,
63,2175,,0.05952691286802292,0.760324239730835,0.6952083110809326
63,2175,0.05765356868505478,,,
64,2209,,0.06001334637403488,0.7563266158103943,0.6863516569137573
64,2209,0.0671183243393898,,,
65,2243,,0.05997423827648163,0.7593079805374146,0.6821603178977966
65,2243,0.0641474649310112,,,
66,2277,,0.05915306881070137,0.7598289847373962,0.6873078346252441
66,2277,0.06775220483541489,,,
67,2311,,0.06294061243534088,0.7628272175788879,0.6963854432106018
67,2311,0.056738533079624176,,,
68,2345,,0.06468597799539566,0.7444975972175598,0.6884549856185913
68,2345,0.06393677741289139,,,
69,2379,,0.06901419907808304,0.7557505965232849,0.6940694451332092
69,2379,0.06201464682817459,,,
70,2413,,0.0619250163435936,0.7642316222190857,0.6939838528633118
70,2413,0.05767480656504631,,,
71,2447,,0.057918332517147064,0.7669320106506348,0.6903398633003235
71,2447,0.05561630055308342,,,
72,2481,,0.06019651144742966,0.7609986066818237,0.6893249750137329
72,2481,0.0607457160949707,,,
73,2515,,0.05840660259127617,0.7655811905860901,0.6970746517181396
73,2515,0.053803976625204086,,,
74,2549,,0.07095636427402496,0.7446569800376892,0.6820472478866577
74,2549,0.05353088676929474,,,
75,2583,,0.05939030274748802,0.7584030628204346,0.6850295066833496
75,2583,0.05692361295223236,,,
76,2617,,0.06093563139438629,0.7606644630432129,0.6798462271690369
76,2617,0.05353448912501335,,,
77,2651,,0.05855025723576546,0.7627451419830322,0.6872777938842773
77,2651,0.05343663692474365,,,
78,2685,,0.06018250435590744,0.7669011950492859,0.7002970576286316
78,2685,0.05630861967802048,,,
79,2719,,0.05697264522314072,0.7704797387123108,0.6988407373428345
79,2719,0.05436950549483299,,,
80,2753,,0.05685535818338394,0.770247757434845,0.6984626054763794
80,2753,0.061018723994493484,,,
81,2787,,0.05710659548640251,0.7701824903488159,0.6986408233642578
81,2787,0.05769095942378044,,,
82,2821,,0.05801115930080414,0.7684999704360962,0.6971346735954285
82,2821,0.053809553384780884,,,
83,2855,,0.05782557651400566,0.7688547968864441,0.6929088830947876
83,2855,0.04840558394789696,,,
84,2889,,0.05778639391064644,0.7691331505775452,0.696758508682251
84,2889,0.057310495525598526,,,
85,2923,,0.0577208586037159,0.7668530344963074,0.693823516368866
85,2923,0.05335839465260506,,,
86,2957,,0.0577223040163517,0.7687375545501709,0.695451021194458
86,2957,0.05934646725654602,,,
87,2991,,0.05795017257332802,0.7688703536987305,0.6946526169776917
87,2991,0.055827900767326355,,,
88,3025,,0.05795114114880562,0.7671142220497131,0.6942904591560364
88,3025,0.04797951132059097,,,
89,3059,,0.05749591812491417,0.7686017155647278,0.6940617561340332
89,3059,0.06626255810260773,,,
90,3093,,0.05743447691202164,0.7683166265487671,0.6942393183708191
90,3093,0.0596475750207901,,,
91,3127,,0.05739222466945648,0.7690207958221436,0.6952632069587708
91,3127,0.05540937930345535,,,
92,3161,,0.05757453292608261,0.7691861987113953,0.695705235004425
92,3161,0.053058844059705734,,,
93,3195,,0.05736126750707626,0.7688189148902893,0.6944015622138977
93,3195,0.05068973824381828,,,
94,3229,,0.058539073914289474,0.7682721018791199,0.6959121823310852
94,3229,0.05336245894432068,,,
95,3263,,0.05823175609111786,0.7685691714286804,0.6956387758255005
95,3263,0.06482567638158798,,,
96,3297,,0.058101505041122437,0.768609344959259,0.6953596472740173
96,3297,0.053140368312597275,,,
97,3331,,0.057483505457639694,0.7691333293914795,0.694952130317688
97,3331,0.057348717004060745,,,
98,3365,,0.05747191235423088,0.7691035270690918,0.6947541236877441
98,3365,0.04542790725827217,,,
99,3399,,0.05752871185541153,0.7690943479537964,0.6944820284843445
99,3399,0.04726923257112503,,,
100,3433,,0.057442110031843185,0.7691290974617004,0.6950421929359436
100,3433,0.05467669293284416,,,
101,3467,,0.057398587465286255,0.7691050171852112,0.6947375535964966
101,3467,0.04968012124300003,,,
102,3501,,0.0573955774307251,0.7690935134887695,0.694697916507721
102,3501,0.056328341364860535,,,
103,3535,,0.05741199851036072,0.7691343426704407,0.6952446699142456
103,3535,0.05670460686087608,,,
104,3569,,0.057448048144578934,0.7691671252250671,0.6954069137573242
104,3569,0.048260513693094254,,,
105,3603,,0.05747102200984955,0.7691795825958252,0.6950754523277283
105,3603,0.049827802926301956,,,
106,3637,,0.0574786551296711,0.7691754102706909,0.6950550079345703
106,3637,0.049194321036338806,,,
107,3671,,0.05745754390954971,0.7691516876220703,0.6954069137573242
107,3671,0.054900068789720535,,,
108,3705,,0.057474568486213684,0.7691705226898193,0.6951296925544739
108,3705,0.05289257690310478,,,
109,3739,,0.05747280269861221,0.769165575504303,0.6951296925544739
109,3739,0.04878292605280876,,,
110,3773,,0.05747339874505997,0.769160807132721,0.6951296925544739
110,3773,0.05268707126379013,,,
111,3807,,0.057469241321086884,0.7691591382026672,0.6950754523277283
111,3807,0.05100623890757561,,,
112,3841,,0.057470325380563736,0.7691566348075867,0.6951296925544739
112,3841,0.049414265900850296,,,
113,3875,,0.05747637525200844,0.7691563963890076,0.6951296925544739
113,3875,0.0637512058019638,,,
114,3909,,0.05748121440410614,0.769159197807312,0.695096492767334
114,3909,0.06267905980348587,,,
115,3943,,0.05747203156352043,0.7691534757614136,0.6951296925544739
115,3943,0.058738186955451965,,,
116,3977,,0.05747165158390999,0.7691525816917419,0.6951296925544739
116,3977,0.05859917774796486,,,
117,4011,,0.05747145786881447,0.7691517472267151,0.6951296925544739
117,4011,0.06180401146411896,,,
118,4045,,0.0574708916246891,0.7691509127616882,0.6951296925544739
118,4045,0.057307858020067215,,,
119,4079,,0.05747126042842865,0.7691512107849121,0.6951296925544739
119,4079,0.057532113045454025,,,
120,4113,,0.05747070908546448,0.7691507339477539,0.6951296925544739
120,4113,0.050635021179914474,,,
121,4147,,0.057471863925457,0.7691504955291748,0.6951296925544739
121,4147,0.054197654128074646,,,
122,4181,,0.05747116729617119,0.7691493034362793,0.6951296925544739
122,4181,0.05209864303469658,,,
123,4215,,0.057471100240945816,0.7691491842269897,0.6951296925544739
123,4215,0.047372397035360336,,,
124,4249,,0.0574711449444294,0.7691491842269897,0.6951296925544739
124,4249,0.05260588601231575,,,
125,4283,,0.05747104808688164,0.7691490650177002,0.6951296925544739
125,4283,0.05294125899672508,,,
126,4284,,0.05685535818338394,0.770247757434845,0.6984626054763794
