epoch,step,train_mse,tuning_rank_regret,tuning_rank_spearman,val_loss,val_pearson_corr,val_rank_regret,val_rank_spearman,val_spearman_corr
0,22,,0.15432146191596985,-0.08004201948642731,0.14054752886295319,0.0679430142045021,0.13978037238121033,0.3888888955116272,0.14892815053462982
0,22,0.1556917130947113,,,,,,,
1,45,,0.1558382511138916,-0.13332059979438782,0.14059330523014069,-0.08254940062761307,0.16516926884651184,0.3333333432674408,0.05774696171283722
1,45,0.15248635411262512,,,,,,,
2,68,,0.148686945438385,-0.06517697870731354,0.14047522842884064,0.38744068145751953,0.06933550536632538,0.4444444477558136,0.4677269160747528
2,68,0.13733872771263123,,,,,,,
3,91,,0.15330372750759125,0.12872722744941711,0.14061294496059418,-0.15931078791618347,0.16777445375919342,-0.6111111044883728,-0.21861350536346436
3,91,0.13956813514232635,,,,,,,
4,114,,0.1485028862953186,-0.11480137705802917,0.1406990885734558,0.3986588418483734,0.13755100965499878,0.0555555559694767,0.5009263753890991
4,114,0.1527981460094452,,,,,,,
5,137,,0.12962208688259125,-0.02545199915766716,0.1403190791606903,0.3800666630268097,0.13755100965499878,0.0555555559694767,0.49547699093818665
5,137,0.14228390157222748,,,,,,,
6,160,,0.13158726692199707,-0.05310669541358948,0.13879381120204926,0.3661573529243469,0.07029059529304504,0.3333333432674408,0.5320131778717041
6,160,0.14158879220485687,,,,,,,
7,183,,0.12734825909137726,-0.014769543893635273,0.14255012571811676,0.29931357502937317,0.16503579914569855,-0.0555555559694767,0.41358494758605957
7,183,0.15815456211566925,,,,,,,
8,206,,0.14790627360343933,-0.06378278881311417,0.12358943372964859,0.4732617139816284,0.1409110575914383,2.4671622953265837e-17,0.5739820003509521
8,206,0.1458825170993805,,,,,,,
9,229,,0.13648433983325958,0.004876496270298958,0.1350090205669403,0.28045395016670227,0.07649517804384232,0.2777777910232544,0.4736122786998749
9,229,0.14383012056350708,,,,,,,
10,252,,0.11633963137865067,-0.05093582719564438,0.13667897880077362,0.20825499296188354,0.17148935794830322,-0.3888888955116272,-0.4049832820892334
10,252,0.13373969495296478,,,,,,,
11,275,,0.15071316063404083,-0.10743570327758789,0.14203913509845734,-0.3525886833667755,0.263042151927948,-0.3333333432674408,-0.42436641454696655
11,275,0.1552448868751526,,,,,,,
12,298,,0.1323283314704895,-0.06252864748239517,0.13651159405708313,0.2773052155971527,0.1409110575914383,0.0555555559694767,0.5623621940612793
12,298,0.14560727775096893,,,,,,,
13,321,,0.13057303428649902,0.12368487566709518,0.13429252803325653,0.219730943441391,0.07554008811712265,0.4444444477558136,0.12939411401748657
13,321,0.15145237743854523,,,,,,,
14,344,,0.1183023676276207,-0.020741023123264313,0.13493606448173523,0.23431578278541565,0.07365065068006516,0.2777777910232544,0.5892403721809387
14,344,0.13152198493480682,,,,,,,
15,367,,0.1183023676276207,-0.025974025949835777,0.13386693596839905,0.23048445582389832,0.07365065068006516,0.2777777910232544,0.5822315812110901
15,367,0.14622226357460022,,,,,,,
16,390,,0.11043209582567215,-0.015183346346020699,0.13300827145576477,0.25724533200263977,0.07649517804384232,0.2222222238779068,0.5636868476867676
16,390,0.13740670680999756,,,,,,,
17,413,,0.12581448256969452,-0.02036541886627674,0.12722264230251312,0.3161665201187134,0.07649517804384232,0.2222222238779068,0.5437503457069397
17,413,0.1306217461824417,,,,,,,
18,436,,0.12671220302581787,0.031016042456030846,0.10873919725418091,0.4964774549007416,0.07649517804384232,0.2222222238779068,0.5657492280006409
18,436,0.11457888782024384,,,,,,,
19,459,,0.12654219567775726,0.024694424122571945,0.14273230731487274,0.3163067102432251,0.07365065068006516,0.1666666716337204,0.6361052393913269
19,459,0.11477480828762054,,,,,,,
20,482,,0.12659303843975067,0.06475681066513062,0.113660529255867,0.4418974816799164,0.07554008811712265,0.5,0.6324834823608398
20,482,0.12749896943569183,,,,,,,
21,505,,0.12659303843975067,0.06401833146810532,0.10557030141353607,0.5086998343467712,0.07269555330276489,0.4444444477558136,0.6304379105567932
21,505,0.10078650712966919,,,,,,,
22,528,,0.13060446083545685,0.020715558901429176,0.09978625923395157,0.6355711817741394,0.0980844497680664,0.3888888955116272,0.6392742991447449
22,528,0.10345220565795898,,,,,,,
23,551,,0.12117449939250946,0.02207792177796364,0.13041770458221436,0.3538246154785156,0.09886394441127777,0.3888888955116272,0.650139570236206
23,551,0.12432602047920227,,,,,,,
24,552,,0.15330372750759125,0.12872722744941711,0.14061294496059418,-0.15931078791618347,0.16777445375919342,-0.6111111044883728,-0.21861350536346436
