MODEL,PRED_DOCKQ
1g20_p1,0.8431039
1g20_157235,0.39650548
1g20_72380,0.39342833
1g20_143949,0.37249056
1g20_140680,0.28529444
1g20_190374,0.27990144
1g20_103796,0.2657643
1g20_242629,0.2335221
1g20_23231,0.22252011
1g20_u1,0.19946319
1g20_193193,0.19757396
1g20_157159,0.16142775
1g20_u2,0.113635436
1g20_p2,0.05525854
1g20_37,0.049740274
1g20_48,0.04714159
1g20_92,0.04618185
1g20_25,0.042615518
1g20_28,0.038230278
1g20_2,0.034898035
1g20_40,0.03437226
1g20_85,0.033746496
1g20_47,0.033562884
1g20_51,0.03255671
1g20_59,0.03214068
1g20_11,0.032085888
1g20_69,0.032011244
1g20_72,0.031777028
1g20_35,0.031711765
1g20_16,0.0314259
1g20_13,0.030468037
1g20_87,0.029913422
1g20_78,0.029894918
1g20_96,0.029867565
1g20_10,0.029764136
1g20_52,0.029605975
1g20_39,0.029496651
1g20_88,0.029242717
1g20_31,0.029155985
1g20_41,0.029101405
1g20_80,0.02854141
1g20_86,0.027547952
1g20_8,0.027336655
1g20_46,0.027310561
1g20_93,0.027171917
1g20_97,0.026890552
1g20_15,0.0263827
1g20_42,0.026367893
1g20_62,0.026307851
1g20_67,0.026303492
1g20_71,0.026289731
1g20_65,0.02624223
1g20_19,0.026186218
1g20_76,0.026182985
1g20_38,0.026110929
1g20_79,0.025489181
1g20_24,0.02534651
1g20_9,0.02522794
1g20_49,0.025159005
1g20_44,0.025065452
1g20_73,0.024439786
1g20_98,0.024289422
1g20_100,0.024198968
1g20_36,0.02386613
1g20_83,0.023710528
1g20_23,0.023577545
1g20_43,0.02338259
1g20_57,0.02334587
1g20_64,0.023345094
1g20_1,0.023209041
1g20_3,0.023104794
1g20_99,0.023029823
1g20_53,0.022896457
1g20_89,0.022751924
1g20_30,0.02263189
1g20_17,0.022574203
1g20_84,0.022434782
1g20_50,0.022396399
1g20_91,0.022278171
1g20_21,0.022237865
1g20_12,0.022207405
1g20_26,0.022165168
1g20_14,0.022164667
1g20_60,0.02150326
1g20_95,0.021366978
1g20_74,0.021317001
1g20_70,0.021223627
1g20_29,0.021193609
1g20_63,0.02062711
1g20_90,0.019931238
1g20_32,0.01941386
1g20_27,0.01924785
1g20_20,0.019168708
1g20_45,0.01906539
1g20_75,0.019044053
1g20_18,0.019006835
1g20_34,0.01895171
1g20_94,0.018941836
1g20_58,0.018922085
1g20_6,0.01818057
1g20_55,0.016594166
1g20_56,0.01583251
1g20_81,0.015757605
1g20_33,0.015167893
1g20_77,0.014632444
1g20_61,0.014598381
1g20_4,0.01427927
1g20_7,0.013958946
1g20_82,0.013589115
1g20_5,0.012519941
1g20_68,0.012196574
1g20_22,0.011636107
1g20_54,0.011586768
1g20_66,0.011378619
