MODEL,PRED_DOCKQ
1zy8_18807,0.79196423
1zy8_4563,0.7721252
1zy8_29698,0.75054616
1zy8_7683,0.7482848
1zy8_4365,0.7207624
1zy8_26766,0.702658
1zy8_331,0.6101448
1zy8_30586,0.47743258
1zy8_24465,0.33353367
1zy8_16282,0.2731481
1zy8_35,0.11858503
1zy8_u1,0.07818187
1zy8_p1,0.065276906
1zy8_3,0.050116446
1zy8_27,0.047609445
1zy8_43,0.046848323
1zy8_7,0.046094123
1zy8_34,0.044653818
1zy8_72,0.044237435
1zy8_65,0.042560697
1zy8_5,0.042172436
1zy8_33,0.041964777
1zy8_11,0.04136922
1zy8_48,0.039936043
1zy8_63,0.039015885
1zy8_4,0.038561136
1zy8_38,0.037860774
1zy8_90,0.037362467
1zy8_52,0.03648462
1zy8_95,0.036126066
1zy8_44,0.036084067
1zy8_92,0.0357646
1zy8_100,0.034326065
1zy8_12,0.034296166
1zy8_54,0.03242796
1zy8_51,0.032235906
1zy8_82,0.032012355
1zy8_42,0.031259328
1zy8_81,0.03116609
1zy8_13,0.031015417
1zy8_73,0.030928606
1zy8_40,0.030665856
1zy8_25,0.030587494
1zy8_55,0.029662905
1zy8_79,0.02965335
1zy8_32,0.029561682
1zy8_69,0.028950213
1zy8_61,0.028688144
1zy8_2,0.028017951
1zy8_56,0.02785224
1zy8_62,0.027848694
1zy8_97,0.027624944
1zy8_80,0.027619833
1zy8_70,0.027275022
1zy8_87,0.027050566
1zy8_89,0.026729885
1zy8_19,0.026200425
1zy8_78,0.02581403
1zy8_47,0.025657948
1zy8_22,0.025645489
1zy8_49,0.025407813
1zy8_17,0.024402676
1zy8_96,0.024170395
1zy8_77,0.024146331
1zy8_99,0.022886539
1zy8_83,0.022584228
1zy8_9,0.022474531
1zy8_21,0.022334065
1zy8_29,0.02223034
1zy8_37,0.021963438
1zy8_66,0.02189224
1zy8_31,0.021504791
1zy8_45,0.021430856
1zy8_60,0.021336194
1zy8_15,0.021331241
1zy8_30,0.021322832
1zy8_46,0.020853773
1zy8_50,0.020332528
1zy8_75,0.02005319
1zy8_14,0.019957159
1zy8_86,0.019675665
1zy8_18,0.019227384
1zy8_76,0.01896379
1zy8_24,0.018769912
1zy8_91,0.018654207
1zy8_88,0.018385246
1zy8_74,0.017755665
1zy8_10,0.017713053
1zy8_57,0.017014641
1zy8_84,0.016932447
1zy8_8,0.016161226
1zy8_6,0.016135264
1zy8_26,0.016092649
1zy8_64,0.015984857
1zy8_53,0.015912917
1zy8_71,0.015852509
1zy8_36,0.015534369
1zy8_28,0.015301928
1zy8_67,0.015187644
1zy8_20,0.014602854
1zy8_1,0.014223415
1zy8_93,0.014216398
1zy8_68,0.013596001
1zy8_85,0.0132449465
1zy8_16,0.011560791
1zy8_94,0.011317654
1zy8_41,0.010980105
1zy8_98,0.010813761
1zy8_58,0.010783342
1zy8_59,0.009229664
1zy8_23,0.008637663
1zy8_39,0.0078000235
