MODEL,PRED_DOCKQ
species_interact_uniprot_sto_0,0.8400849
string_interact_uniprot_sto_1,0.79473186
pdb_interact_uniref_a3m_4,0.7929856
string_interact_uniprot_sto_3,0.77973807
species_interact_uniprot_sto_1,0.76631737
uniclust_oxmatch_a3m_3,0.74481255
uniprot_distance_uniref_a3m_0,0.73387116
string_interact_uniref_a3m_1,0.70745677
string_interact_uniprot_sto_0,0.6940248
pdb_interact_uniref_a3m_3,0.6777676
uniprot_distance_uniref_a3m_3,0.67733735
string_interact_uniref_a3m_4,0.6717662
pdb_interact_uniref_a3m_0,0.6461153
sequence_based_template_1,0.63781166
uniprot_distance_uniref_a3m_1,0.63139313
structure_temp_dimer_a_0,0.6288535
ori_temp_pipeline_with_alphafold_models_0,0.6250582
uniclust_oxmatch_a3m_0,0.6089123
sequence_based_template_with_alphafold_0,0.59886515
custom_template_with_alphafold_models_0,0.59886515
species_interact_uniref_a3m_2,0.58569294
uniprot_distance_uniref_a3m_4,0.5855734
species_interact_uniref_a3m_0,0.57189685
species_interact_uniref_a3m_3,0.56388956
string_interact_uniprot_sto_2,0.5476782
string_interact_uniref_a3m_2,0.5225925
no_templates_1,0.50934196
ori_temp_pipeline_with_alphafold_models_2,0.49375075
sequence_based_template_2,0.4925025
uniprot_distance_uniref_a3m_2,0.49181458
ori_temp_pipeline_with_alphafold_models_1,0.48227665
custom_template_with_alphafold_models_1,0.48178178
sequence_based_template_with_alphafold_1,0.48178178
no_templates_0,0.47835514
pdb_interact_uniref_a3m_2,0.45535302
species_interact_uniref_sto_4,0.4532527
structure_temp_dimer_a_1,0.4468967
structure_temp_dimer_a_2,0.44389063
default_3,0.43589494
custom_template_with_alphafold_models_2,0.43505645
sequence_based_template_with_alphafold_2,0.43505645
ori_template_pipeline_2,0.41476563
uniprot_distance_uniref_sto_1,0.40802115
species_interact_uniref_sto_3,0.39484185
species_interact_uniref_a3m_4,0.39152557
ori_temp_pipeline_with_alphafold_models_4,0.38046476
string_interact_uniref_sto_0,0.37522963
species_interact_uniref_sto_2,0.37242618
species_interact_uniref_a3m_1,0.36503774
ori_template_pipeline_1,0.36263224
string_interact_uniref_sto_1,0.35900986
string_interact_uniref_sto_4,0.34940165
string_interact_uniref_a3m_3,0.34630305
species_interact_uniprot_sto_4,0.33825028
structure_temp_dimer_0,0.33410898
custom_template_file_0,0.33285108
ori_temp_pipeline_with_alphafold_models_3,0.32949993
string_interact_uniref_sto_3,0.3209857
default_2,0.320025
uniclust_oxmatch_a3m_4,0.31584165
ori_template_pipeline_3,0.3135044
custom_template_with_alphafold_models_3,0.31309813
sequence_based_template_with_alphafold_3,0.31309813
structure_temp_dimer_a_3,0.3067912
string_interact_uniref_a3m_0,0.30632207
sequence_based_template_0,0.30597055
structure_temp_dimer_1,0.3021709
structure_temp_dimer_a_4,0.30216917
uniclust_oxmatch_a3m_2,0.30003414
sequence_based_template_with_alphafold_4,0.29771838
custom_template_with_alphafold_models_4,0.29771838
custom_template_file_3,0.2942664
pdb_interact_uniprot_sto_0,0.29218084
custom_template_file_1,0.28712177
pdb_interact_uniref_sto_0,0.28671676
structure_temp_dimer_2,0.28168103
species_interact_uniref_sto_0,0.27903244
default_1,0.27619818
custom_template_file_2,0.27404708
sequence_based_template_3,0.2689374
species_interact_uniprot_sto_3,0.2683631
species_interact_uniref_sto_1,0.25811064
no_templates_2,0.24591075
pdb_interact_uniref_sto_1,0.24482965
structure_temp_dimer_3,0.23646067
sequence_based_template_4,0.23554328
default_4,0.22499345
ori_template_pipeline_0,0.21643074
no_templates_4,0.21410772
string_interact_uniprot_sto_4,0.18969145
default_0,0.18350174
uniprot_distance_uniprot_sto_2,0.16553849
string_interact_uniref_sto_2,0.16545591
species_interact_uniprot_sto_2,0.15355961
uniprot_distance_uniprot_sto_0,0.1392093
uniprot_distance_uniref_sto_0,0.12074596
pdb_interact_uniref_a3m_1,0.11975588
uniclust_oxmatch_a3m_1,0.10346458
custom_template_file_4,0.10106785
pdb_interact_uniprot_sto_4,0.100971006
ori_template_pipeline_4,0.089273736
pdb_interact_uniprot_sto_2,0.08850953
uniprot_distance_uniprot_sto_3,0.08640875
uniprot_distance_uniprot_sto_1,0.08108854
no_templates_3,0.07556432
pdb_interact_uniref_sto_3,0.069698445
uniprot_distance_uniref_sto_2,0.067065
structure_temp_dimer_4,0.06508075
pdb_interact_uniprot_sto_3,0.060055267
pdb_interact_uniref_sto_4,0.056837924
pdb_interact_uniref_sto_2,0.05294225
uniprot_distance_uniref_sto_4,0.046952758
uniprot_distance_uniref_sto_3,0.040506948
uniprot_distance_uniprot_sto_4,0.03330613
pdb_interact_uniprot_sto_1,0.026007691
