TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7OEL,string_interact_uniref_sto_1,0.833707,0.724
7OEL,ori_template_pipeline_4,0.8177949,0.723
7OEL,default_4,0.8120907,0.732
7OEL,uniprot_distance_uniref_sto_3,0.80913824,0.724
7OEL,no_templates_3,0.8074777,0.500
7OEL,uniprot_distance_uniprot_sto_1,0.8027814,0.725
7OEL,species_interact_uniprot_sto_2,0.79203844,0.721
7OEL,structure_temp_dimer_2,0.78313816,0.696
7OEL,sequence_based_template_0,0.77530986,0.602
7OEL,structure_temp_dimer_0,0.77141654,0.696
7OEL,string_interact_uniprot_sto_4,0.7705391,0.727
7OEL,species_interact_uniref_sto_0,0.76933455,0.719
7OEL,uniprot_distance_uniprot_sto_2,0.7691204,0.738
7OEL,species_interact_uniprot_sto_0,0.76889056,0.734
7OEL,species_interact_uniref_sto_3,0.7671118,0.725
7OEL,pdb_interact_uniref_sto_1,0.76602274,0.725
7OEL,string_interact_uniprot_sto_0,0.75820893,0.723
7OEL,default_2,0.7517146,0.716
7OEL,pdb_interact_uniref_sto_4,0.74970514,0.731
7OEL,custom_template_file_0,0.7299665,0.696
7OEL,string_interact_uniprot_sto_3,0.7281893,0.717
7OEL,uniprot_distance_uniref_sto_4,0.7281631,0.733
7OEL,uniclust_oxmatch_a3m_2,0.7281479,0.759
7OEL,structure_temp_dimer_3,0.727036,0.705
7OEL,species_interact_uniprot_sto_3,0.71217775,0.732
7OEL,species_interact_uniprot_sto_1,0.70525116,0.724
7OEL,uniprot_distance_uniref_sto_2,0.70507604,0.723
7OEL,string_interact_uniprot_sto_2,0.7032397,0.726
7OEL,pdb_interact_uniref_a3m_1,0.70184475,0.756
7OEL,pdb_interact_uniprot_sto_1,0.70078397,0.721
7OEL,pdb_interact_uniprot_sto_4,0.6870818,0.740
7OEL,sequence_based_template_3,0.6743962,0.604
7OEL,string_interact_uniprot_sto_1,0.6679461,0.722
7OEL,structure_temp_dimer_1,0.6637586,0.700
7OEL,custom_template_file_1,0.6592367,0.700
7OEL,sequence_based_template_with_alphafold_3,0.6549994,0.696
7OEL,species_interact_uniref_a3m_2,0.6380575,0.752
7OEL,pdb_interact_uniref_a3m_0,0.6353258,0.748
7OEL,species_interact_uniref_sto_2,0.6305219,0.721
7OEL,no_templates_1,0.6195626,0.380
7OEL,ori_temp_pipeline_with_alphafold_models_3,0.58357316,0.696
7OEL,uniprot_distance_uniref_a3m_0,0.5789363,0.756
7OEL,string_interact_uniref_a3m_1,0.57379574,0.750
7OEL,pdb_interact_uniref_sto_0,0.56945944,0.721
7OEL,no_templates_4,0.5630518,0.527
7OEL,custom_template_file_2,0.5519831,0.696
7OEL,default_0,0.5358209,0.721
7OEL,uniclust_oxmatch_a3m_3,0.52275985,0.755
7OEL,sequence_based_template_2,0.5215138,0.608
7OEL,species_interact_uniref_sto_4,0.5180705,0.723
7OEL,species_interact_uniref_sto_1,0.5065587,0.712
7OEL,custom_template_with_alphafold_models_3,0.49978867,0.696
7OEL,uniprot_distance_uniref_a3m_3,0.49548814,0.746
7OEL,custom_template_file_3,0.4886791,0.705
7OEL,sequence_based_template_1,0.48295468,0.624
7OEL,ori_template_pipeline_2,0.45017454,0.718
7OEL,uniprot_distance_uniref_sto_0,0.4425364,0.721
7OEL,custom_template_with_alphafold_models_4,0.439087,0.696
7OEL,uniprot_distance_uniprot_sto_4,0.42722058,0.733
7OEL,ori_temp_pipeline_with_alphafold_models_4,0.42592275,0.696
7OEL,uniprot_distance_uniprot_sto_3,0.4069785,0.722
7OEL,no_templates_2,0.40575334,0.549
7OEL,uniclust_oxmatch_a3m_1,0.3970572,0.753
7OEL,sequence_based_template_4,0.39119714,0.662
7OEL,sequence_based_template_with_alphafold_2,0.3907895,0.697
7OEL,string_interact_uniref_sto_0,0.3880493,0.722
7OEL,ori_temp_pipeline_with_alphafold_models_2,0.38126785,0.697
7OEL,uniclust_oxmatch_a3m_0,0.37346655,0.746
7OEL,pdb_interact_uniref_sto_3,0.3729118,0.733
7OEL,custom_template_with_alphafold_models_2,0.35958466,0.697
7OEL,pdb_interact_uniref_a3m_2,0.34322578,0.743
7OEL,ori_template_pipeline_3,0.34014007,0.722
7OEL,uniprot_distance_uniref_sto_1,0.33826032,0.723
7OEL,default_1,0.31909886,0.718
7OEL,uniprot_distance_uniref_a3m_2,0.3060457,0.740
7OEL,structure_temp_dimer_a_0,0.29520532,0.705
7OEL,ori_temp_pipeline_with_alphafold_models_0,0.28155333,0.705
7OEL,pdb_interact_uniprot_sto_3,0.27976474,0.731
7OEL,structure_temp_dimer_a_2,0.2774731,0.697
7OEL,structure_temp_dimer_a_3,0.27686444,0.696
7OEL,string_interact_uniref_sto_4,0.27455723,0.734
7OEL,custom_template_file_4,0.27169365,0.707
7OEL,sequence_based_template_with_alphafold_4,0.2618419,0.696
7OEL,pdb_interact_uniref_a3m_3,0.2537068,0.735
7OEL,pdb_interact_uniprot_sto_0,0.242725,0.727
7OEL,custom_template_with_alphafold_models_0,0.23861387,0.705
7OEL,string_interact_uniref_a3m_0,0.23838773,0.748
7OEL,sequence_based_template_with_alphafold_0,0.23653279,0.705
7OEL,species_interact_uniref_a3m_1,0.22584763,0.749
7OEL,string_interact_uniref_a3m_4,0.22005448,0.739
7OEL,structure_temp_dimer_4,0.21266638,0.707
7OEL,species_interact_uniprot_sto_4,0.20702843,0.737
7OEL,sequence_based_template_with_alphafold_1,0.19453844,0.702
7OEL,ori_template_pipeline_0,0.1925526,0.724
7OEL,custom_template_with_alphafold_models_1,0.18467079,0.702
7OEL,string_interact_uniref_sto_3,0.17390959,0.722
7OEL,default_3,0.16467807,0.721
7OEL,structure_temp_dimer_a_4,0.1566126,0.696
7OEL,uniprot_distance_uniprot_sto_0,0.15633081,0.732
7OEL,uniclust_oxmatch_a3m_4,0.15044704,0.749
7OEL,structure_temp_dimer_a_1,0.14015697,0.702
7OEL,pdb_interact_uniref_sto_2,0.13906007,0.727
7OEL,ori_template_pipeline_1,0.12954314,0.721
7OEL,ori_temp_pipeline_with_alphafold_models_1,0.12150624,0.702
7OEL,species_interact_uniref_a3m_3,0.11864616,0.751
7OEL,uniprot_distance_uniref_a3m_4,0.11441615,0.743
7OEL,uniprot_distance_uniref_a3m_1,0.11174474,0.748
7OEL,pdb_interact_uniprot_sto_2,0.09757792,0.726
7OEL,string_interact_uniref_a3m_3,0.0959343,0.738
7OEL,string_interact_uniref_sto_2,0.09160167,0.724
7OEL,no_templates_0,0.08763923,0.570
7OEL,pdb_interact_uniref_a3m_4,0.08494078,0.743
7OEL,species_interact_uniref_a3m_4,0.07872404,0.742
7OEL,string_interact_uniref_a3m_2,0.049139477,0.740
7OEL,species_interact_uniref_a3m_0,0.029561467,0.739
